詞彙,注音,英譯,量詞
生氣,ㄕㄥ ㄑㄧˋ,to get angry / to take offense / angry / vitality / liveliness,
怕,ㄆㄚˋ,to be afraid / to fear / to dread / to be unable to endure / perhaps,
哭,ㄎㄨ,to cry / to weep,
難過,ㄋㄢˊ ㄍㄨㄛˋ,to feel sad / to feel unwell / (of life) to be difficult,
傷心,ㄕㄤ ㄒㄧㄣ,to grieve / to be broken-hearted / to feel deeply hurt,
美,ㄇㄟˇ,beautiful / very satisfactory / good / to beautify / to be pleased with oneself,
美麗,ㄇㄟˇ ㄌㄧˋ,beautiful,
聰明,ㄘㄨㄥ ㄇㄧㄥˊ,intelligent / clever / bright / smart / acute (of sight and hearing),
認真,ㄖㄣˋ ㄓㄣ,conscientious / earnest / serious / to take seriously / to take to heart,
勇敢,ㄩㄥˇ ㄍㄢˇ,brave / courageous,
禮貌,ㄌㄧˇ ㄇㄠˋ,courtesy / manners,
害羞,ㄏㄞˋ ㄒㄧㄡ,shy / embarrassed / bashful,
應該,ㄧㄥ ㄍㄞ,ought to / should / must,
相信,ㄒㄧㄤ ㄒㄧㄣˋ,to be convinced (that sth is true) / to believe / to accept sth as true,
經驗,ㄐㄧㄥ ㄧㄢˋ,experience / to experience,
關心,ㄍㄨㄢ ㄒㄧㄣ,to be concerned about / to care about,
辛苦,ㄒㄧㄣ ㄎㄨˇ,exhausting / hard / tough / arduous / to work hard / to go to a lot of trouble / hardship(s),
願意,ㄩㄢˋ ㄧˋ,to wish / to want / ready / willing (to do sth),
心情,ㄒㄧㄣ ㄑㄧㄥˊ,mood / frame of mind,個
幸福,ㄒㄧㄥˋ ㄈㄨˊ,happiness / happy / blessed,
可憐,ㄎㄜˇ ㄌㄧㄢˊ,pitiful / pathetic / to have pity on,
差,ㄔㄚˋ,to send / to commission / messenger / mission,
職業,ㄓˊ ㄧㄝˋ,occupation / profession / vocation / professional,
教師,ㄐㄧㄠˋ ㄕ,teacher,個
經理,ㄐㄧㄥ ㄌㄧˇ,manager / director,個 / 位 / 名
記者,ㄐㄧˋ ㄓㄜˇ,reporter / journalist,個
服務員,ㄈㄨˊ ㄨˋ ㄩㄢˊ,waiter / waitress / attendant / customer service personnel,個 / 位
服務生,ㄈㄨˊ ㄨˋ ㄕㄥ,server (at a restaurant),
顧客,ㄍㄨˋ ㄎㄜˋ,client / customer,位
教書,ㄐㄧㄠ ㄕㄨ,to teach (in a school),
開會,ㄎㄞ ㄏㄨㄟˋ,to hold a meeting / to attend a meeting,
下班,ㄒㄧㄚˋ ㄅㄢ,to finish work / to get off work,
危險,ㄨㄟˊ ㄒㄧㄢˇ,danger / dangerous,
安全,ㄢ ㄑㄩㄢˊ,safe / secure / safety / security,
安全,ㄢ ㄑㄩㄢˊ,safe / secure / safety / security,
成功,ㄔㄥˊ ㄍㄨㄥ,success / to succeed,次 / 個
報告,ㄅㄠˋ ㄍㄠˋ,to inform / to report / to make known / report / speech / talk / lecture,篇 / 份 / 個 / 通
報告,ㄅㄠˋ ㄍㄠˋ,to inform / to report / to make known / report / speech / talk / lecture,篇 / 份 / 個 / 通
打算,ㄉㄚˇ ㄙㄨㄢˋ,to plan / to intend / to calculate / plan / intention / calculation,個
機會,ㄐㄧ ㄏㄨㄟˋ,opportunity / chance / occasion,個
當,ㄉㄤ,at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student),
如果,ㄖㄨˊ ㄍㄨㄛˇ,if / in case / in the event that,
計畫,ㄐㄧˋ ㄏㄨㄚˋ,variant of 計劃划[ji4 hua4],
計劃,ㄐㄧˋ ㄏㄨㄚˋ,plan / project / program / to plan / to map out,個 / 項
計畫,ㄐㄧˋ ㄏㄨㄚˋ,variant of 計劃划[ji4 hua4],
努力,ㄋㄨˇ ㄌㄧˋ,great effort / to strive / to try hard,
管理,ㄍㄨㄢˇ ㄌㄧˇ,to supervise / to manage / to administer / management / administration,個
學院,ㄒㄩㄝˊ ㄩㄢˋ,college / educational institute / school / faculty,所
小學生,ㄒㄧㄠˇ ㄒㄩㄝˊ ㄕㄥ,primary school student / schoolchild / (fig.) beginner,個 / 名
大學生,ㄉㄚˋ ㄒㄩㄝˊ ㄕㄥ,university student / college student,
同學,ㄊㄨㄥˊ ㄒㄩㄝˊ,to study at the same school / fellow student / classmate,位 / 個
校長,ㄒㄧㄠˋ ㄓㄤˇ,"(college, university) president / headmaster",個 / 位 / 名
放假,ㄈㄤˋ ㄐㄧㄚˋ,to have a holiday or vacation,
畢業,ㄅㄧˋ ㄧㄝˋ,graduation / to graduate / to finish school,
開學,ㄎㄞ ㄒㄩㄝˊ,foundation of a University or College / school opening / the start of a new term,
成績,ㄔㄥˊ ㄐㄧ,achievement / performance records / grades,項 / 個
學期,ㄒㄩㄝˊ ㄑㄧˊ,term / semester,個
學費,ㄒㄩㄝˊ ㄈㄟˋ,tuition fee / tuition,個
暑假,ㄕㄨˇ ㄐㄧㄚˋ,summer vacation,個
寒假,ㄏㄢˊ ㄐㄧㄚˋ,winter vacation,
服務,ㄈㄨˊ ㄨˋ,to serve / service,項
宿舍,ㄙㄨˋ ㄕㄜˋ,dormitory / dorm room / living quarters / hostel,間
操場,ㄘㄠ ㄔㄤˇ,playground / sports field / drill ground,個
校園,ㄒㄧㄠˋ ㄩㄢˊ,campus,
中文,ㄓㄨㄥ ㄨㄣˊ,Chinese language,
文化,ㄨㄣˊ ㄏㄨㄚˋ,culture / civilization / cultural,個 / 種
語法,ㄩˇ ㄈㄚˇ,grammar,
漢語,ㄏㄢˋ ㄩˇ,Chinese language,門
書法,ㄕㄨ ㄈㄚˇ,calligraphy / handwriting / penmanship,
班,ㄅㄢ,team / class / squad / work shift / ranking / classifier for groups,個
班,ㄅㄢ,team / class / squad / work shift / ranking / classifier for groups,個
書桌,ㄕㄨ ㄓㄨㄛ,desk,張
課,ㄎㄜˋ,subject / course / class / lesson / to levy / tax / form of divination,門 / 堂 / 節
字典,ㄗˋ ㄉㄧㄢˇ,"Chinese character dictionary (containing entries for single characters, contrasted with a 詞典典[ci2 dian3], which has entries for words of one or more characters)",本
漢字,ㄏㄢˋ ㄗˋ,Chinese character / Japanese: kanji / Korean: hanja / Vietnamese: hán tự,個
鉛筆,ㄑㄧㄢ ㄅㄧˇ,(lead) pencil,支 / 枝 / 桿
尺,ㄔˇ,a Chinese foot / one-third of a meter / a ruler / a tape-measure / one of the three acupoints for measuring pulse in Chinese medicine,支 / 把
毛筆,ㄇㄠˊ ㄅㄧˇ,writing brush,枝 / 管
教,ㄐㄧㄠ,religion / teaching / to make / to cause / to tell,
講,ㄐㄧㄤˇ,to speak / to explain / to negotiate / to emphasise / to be particular about / as far as sth is concerned / speech / lecture,
講話,ㄐㄧㄤˇ ㄏㄨㄚˋ,a speech / to speak / to talk / to address,個
告訴,ㄍㄠˋ ㄙㄨˋ,to tell / to inform / to let know,
念,ㄋㄧㄢˋ,"to read / to study (a subject) / to attend (a school) / to read aloud / to miss (sb) / idea / remembrance / twenty (banker's anti-fraud numeral corresponding to 廿, 20)",
唸,ㄋㄧㄢˋ,"variant of 念[nian4], to read aloud",
練習,ㄌㄧㄢˋ ㄒㄧˊ,to practice / exercise / drill / practice,個
討論,ㄊㄠˇ ㄌㄨㄣˋ,to discuss / to talk over,個
認為,ㄖㄣˋ ㄨㄟˊ,to believe / to think / to consider / to feel,
解釋,ㄐㄧㄝˇ ㄕˋ,explanation / to explain / to interpret / to resolve,個
同意,ㄊㄨㄥˊ ㄧˋ,to agree / to consent / to approve,
了解,ㄌㄧㄠˇ ㄐㄧㄝˇ,to understand / to realize / to find out,
瞭解,ㄌㄧㄠˇ ㄐㄧㄝˇ,to understand / to realize / to find out,
清楚,ㄑㄧㄥ ㄔㄨˇ,clear / distinct / to understand thoroughly / to be clear about,
無聊,ㄨˊ ㄌㄧㄠˊ,bored / boring / senseless,
決定,ㄐㄩㄝˊ ㄉㄧㄥˋ,to decide (to do something) / to resolve / decision / certainly,個 / 項
遍,ㄅㄧㄢˋ,everywhere / all over / classifier for actions: one time,
交,ㄐㄧㄠ,to hand over / to deliver / to pay (money) / to turn over / to make friends / to intersect (lines) / variant of 跤[jiao1],
借,ㄐㄧㄝˋ,to lend / to borrow / by means of / to take (an opportunity),
算,ㄙㄨㄢˋ,to regard as / to figure / to calculate / to compute,
對,ㄉㄨㄟˋ,right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple,
錯,ㄘㄨㄛˋ,mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver,
辦法,ㄅㄢˋ ㄈㄚˇ,means / method / way (of doing sth),條 / 個
方法,ㄈㄤ ㄈㄚˇ,method / way / means,個
有用,ㄧㄡˇ ㄩㄥˋ,useful,
進步,ㄐㄧㄣˋ ㄅㄨˋ,progress / improvement / to improve / to progress,個
忘,ㄨㄤˋ,to forget / to overlook / to neglect,
記,ㄐㄧˋ,"to record / to note / to memorize / to remember / mark / sign / classifier for blows, kicks, shots",
公寓,ㄍㄨㄥ ㄩˋ,apartment building / block of flats,套
大樓,ㄉㄚˋ ㄌㄡˊ,"building (a relatively large, multi-storey one)",幢 / 座
臥室,ㄨㄛˋ ㄕˋ,bedroom,間
花園,ㄏㄨㄚ ㄩㄢˊ,garden,座 / 個
門口,ㄇㄣˊ ㄎㄡˇ,doorway / gate,個
浴室,ㄩˋ ㄕˋ,bathroom (room used for bathing),間
樓梯,ㄌㄡˊ ㄊㄧ,stair / staircase,個
牆,ㄑㄧㄤˊ,wall,面 / 堵
洗衣機,ㄒㄧˇ ㄧ ㄐㄧ,washer / washing machine,臺
冰箱,ㄅㄧㄥ ㄒㄧㄤ,icebox / freezer cabinet / refrigerator,臺 / 個
燈,ㄉㄥ,lamp / light / lantern,盞
打開,ㄉㄚˇ ㄎㄞ,to open / to show (a ticket) / to turn on / to switch on,
盒子,ㄏㄜˊ ㄗ˙,box / case,
鄰居,ㄌㄧㄣˊ ㄐㄩ,neighbor / next door,個
熱鬧,ㄖㄜˋ ㄋㄠˋ,bustling with noise and excitement / lively,
吵,ㄔㄠˇ,to quarrel / to make a noise / noisy / to disturb by making a noise,
滿意,ㄇㄢˇ ㄧˋ,satisfied / pleased / to one's satisfaction,
乾淨,ㄍㄢ ㄐㄧㄥˋ,clean / neat,
房租,ㄈㄤˊ ㄗㄨ,rent for a room or house,
租,ㄗㄨ,to hire / to rent / to charter / to rent out / to lease out / rent / land tax,
開水,ㄎㄞ ㄕㄨㄟˇ,boiled water / boiling water,
鄉下,ㄒㄧㄤ ㄒㄧㄚˋ,countryside / rural area,個
森林,ㄙㄣ ㄌㄧㄣˊ,forest,片
地,ㄉㄧˋ,earth / ground / field / place / land,片
草,ㄘㄠˇ,variant of 肏[cao4],
枝,ㄓ,"branch / classifier for sticks, rods, pencils etc",
隻,ㄓ,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc",
動物,ㄉㄨㄥˋ ㄨˋ,animal,隻 / 群 / 個
牛,ㄋㄧㄡˊ,ox / cow / bull / newton (abbr. for 牛頓顿[niu2 dun4]) / (slang) awesome,條 / 頭
虎,ㄏㄨˇ,tiger,隻
羊,ㄧㄤˊ,sheep / goat,頭 / 隻
豬,ㄓㄨ,hog / pig / swine,口 / 頭
月亮,ㄩㄝˋ ㄌㄧㄤˋ,the moon,
星星,ㄒㄧㄥ ㄒㄧㄥ,star in the sky,
雲,ㄩㄣˊ,cloud,朵
地球,ㄉㄧˋ ㄑㄧㄡˊ,the earth,個
世界,ㄕˋ ㄐㄧㄝˋ,world,個
環境,ㄏㄨㄢˊ ㄐㄧㄥˋ,environment / circumstances / surroundings / ambient,個
火,ㄏㄨㄛˇ,fire / urgent / ammunition / fiery or flaming / internal heat (Chinese medicine) / hot (popular) / classifier for military units (old) / Kangxi radical 86,
晴天,ㄑㄧㄥˊ ㄊㄧㄢ,clear sky / sunny day,
暖和,ㄋㄨㄢˇ ㄏㄨㄛ˙,warm / nice and warm,
涼快,ㄌㄧㄤˊ ㄎㄨㄞˋ,nice and cold / pleasantly cool,
溫暖,ㄨㄣ ㄋㄨㄢˇ,warm,
度,ㄉㄨˋ,to estimate / Taiwan pr. [duo4],
溫度,ㄨㄣ ㄉㄨˋ,temperature,個
雨,ㄩˇ,"to rain / (of rain, snow etc) to fall / to precipitate / to wet",
雪,ㄒㄩㄝˇ,"snow / snowfall / to have the appearance of snow / to wipe away, off or out / to clean",場
空氣,ㄎㄨㄥ ㄑㄧˋ,air / atmosphere,
間,ㄐㄧㄢ,gap / to separate / to thin out (seedlings) / to sow discontent,
睡,ㄕㄨㄟˋ,to sleep / to lie down,
發生,ㄈㄚ ㄕㄥ,to happen / to occur / to take place / to break out,
發現,ㄈㄚ ㄒㄧㄢˋ,to find / to discover,
發現,ㄈㄚ ㄒㄧㄢˋ,to find / to discover,
照顧,ㄓㄠˋㄍㄨˋ,to take care of / to show consideration / to attend to / to look after,
打掃,ㄉㄚˇ ㄙㄠˇ,to clean / to sweep,
餐,ㄘㄢ,meal / to eat / classifier for meals,
起來,ㄑㄧˇ ㄌㄞˊ,"(after a verb) indicating the beginning and continuation of an action or a state / indicating an upward movement (e.g. after 站[zhan4]) / indicating completion / (after a perception verb, e.g. 看[kan4]) expressing preliminary judgment / also pr. [qi3 lai5]",
搬,ㄅㄢ,to move (i.e. relocate oneself) / to move (sth relatively heavy or bulky) / to shift / to copy indiscriminately,
掛,ㄍㄨㄚˋ,to hang or suspend (from a hook etc) / to hang up (the phone) / (of a line) to be dead / to be worried or concerned / to make a phone call (dialect) / to register or record / classifier for sets or clusters of objects / (slang) to kill / to die / to be finished / to fail (an exam),
有空,ㄧㄡˇ ㄎㄨㄥˋ,to have time (to do sth),
有空兒,ㄧㄡˇ ㄎㄨㄥˋ ㄦ,to have time (to do sth),
過年,ㄍㄨㄛˋ ㄋㄧㄢˊ,to celebrate the Chinese New Year,
結束,ㄐㄧㄝˊ ㄕㄨˋ,termination / to finish / to end / to conclude / to close,
完,ㄨㄢˊ,to finish / to be over / whole / complete / entire,
散步,ㄙㄢˋ ㄅㄨˋ,to take a walk / to go for a walk,
爬,ㄆㄚˊ,to crawl / to climb / to get up or sit up,
跳,ㄊㄧㄠˋ,to jump / to hop / to skip over / to bounce / to palpitate,
座位,ㄗㄨㄛˋ ㄨㄟˋ,seat,個
博物館,ㄅㄛˊ ㄨˋ ㄍㄨㄢˇ,museum,
節目,ㄐㄧㄝˊ ㄇㄨˋ,program / item (on a program),臺 / 個 / 套
新聞,ㄒㄧㄣ ㄨㄣˊ,news,條 / 個
政治,ㄓㄥˋ ㄓˋ,politics / political,
體育,ㄊㄧˇ ㄩˋ,sports / physical education,
網站,ㄨㄤˇ ㄓㄢˋ,website / network station / node,
還,ㄏㄞˊ,to pay back / to return,
經常,ㄐㄧㄥ ㄔㄤˊ,frequently / constantly / regularly / often / day-to-day / everyday / daily,
平常,ㄆㄧㄥˊ ㄔㄤˊ,ordinary / common / usually / ordinarily,
總是,ㄗㄨㄥˇ ㄕˋ,always,
已經,ㄧˇ ㄐㄧㄥ,already,
各,ㄍㄜˋ,each / every,
雜誌,ㄗㄚˊ ㄓˋ,magazine,本 / 份 / 期
文章,ㄨㄣˊ ㄓㄤ,article / essay / literary works / writings / hidden meaning,篇 / 段 / 頁
故事,ㄍㄨˋ ㄕˋ,narrative / story / tale,
小說,ㄒㄧㄠˇ ㄕㄨㄛ,novel / fiction,本 / 部
美術,ㄇㄟˇ ㄕㄨˋ,art / fine arts / painting,種
藝術,ㄧˋ ㄕㄨˋ,art,
興趣,ㄒㄧㄥˋ ㄑㄩˋ,interest (desire to know about sth) / interest (thing in which one is interested) / hobby,個
收,ㄕㄡ,to receive / to accept / to collect / to put away / to restrain / to stop / in care of (used on address line after name),
談,ㄊㄢˊ,to speak / to talk / to converse / to chat / to discuss,
聊天,ㄌㄧㄠˊ ㄊㄧㄢ,to chat / to gossip,
聊天兒,ㄌㄧㄠˊ ㄊㄧㄢ ㄦ,erhua variant of 聊天[liao2 tian1],
唱,ㄔㄤˋ,to sing / to call loudly / to chant,
歌,ㄍㄜ,song / to sing,支 / 首
早,ㄗㄠˇ,early / morning / Good morning! / long ago / prematurely,
遲到,ㄔˊ ㄉㄠˋ,to arrive late,
後來,ㄏㄡˋ ㄌㄞˊ,afterwards / later,
變,ㄅㄧㄢˋ,to change / to become different / to transform / to vary / rebellion,
跳舞,ㄊㄧㄠˋ ㄨˇ,to dance,
樂器,ㄩㄝˋ ㄑㄧˋ,musical instrument,件
吉他,ㄐㄧˊ ㄊㄚ,guitar (loanword),把
鋼琴,ㄍㄤ ㄑㄧㄣˊ,piano,架 / 臺
可怕,ㄎㄜˇ ㄆㄚˋ,awful / dreadful / fearful / formidable / frightful / scary / hideous / horrible / terrible / terribly,
活動,ㄏㄨㄛˊ ㄉㄨㄥˋ,to exercise / to move about / to operate / to use connections (personal influence) / loose / shaky / active / movable / activity / campaign / maneuver / behavior,項 / 個
就,ㄐㄧㄡˋ,at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning,
消息,ㄒㄧㄠ ㄒㄧˊ,news / information,條
才,ㄘㄞˊ,ability / talent / sb of a certain type / a capable individual / only / only then / just now,
又,ㄧㄡˋ,(once) again / also / both... and... / and yet / (used for emphasis) anyway,
客人,ㄎㄜˋ ㄖㄣˊ,visitor / guest / customer / client,位
不好意思,ㄅㄨˋ ㄏㄠˇ ㄧˋ ㄙ˙,to feel embarrassed / to find it embarrassing / to be sorry (for inconveniencing sb),
怎麼了,ㄗㄣˇ ㄇㄜ˙ ㄌㄜ˙,What's up? / What's going on? / What happened?,
怎麼辦,ㄗㄣˇ ㄇㄜ˙ ㄅㄢˋ,what's to be done,
客氣,ㄎㄜˋ ㄑㄧˋ,polite / courteous / formal / modest,
舞會,ㄨˇ ㄏㄨㄟˋ,dance / ball / party,場
最近,ㄗㄨㄟˋ ㄐㄧㄣˋ,recently / soon / nearest,
請客,ㄑㄧㄥˇ ㄎㄜˋ,to give a dinner party / to entertain guests / to invite to dinner,
慶祝,ㄑㄧㄥˋ ㄓㄨˋ,to celebrate,
聽說,ㄊㄧㄥ ㄕㄨㄛ,to hear (sth said) / one hears (that) / hearsay / listening and speaking,
感謝,ㄍㄢˇ ㄒㄧㄝˋ,(express) thanks / gratitude / grateful / thankful / thanks,
見面,ㄐㄧㄢˋ ㄇㄧㄢˋ,to meet / to see each other,次
約,ㄩㄝ,to make an appointment / to invite / approximately / pact / treaty / to economize / to restrict / to reduce (a fraction) / concise,
事,ㄕˋ,matter / thing / item / work / affair,件 / 樁 / 回
事情,ㄕˋ ㄑㄧㄥˊ,affair / matter / thing / business,件 / 樁
明信片,ㄇㄧㄥˊ ㄒㄧㄣˋ ㄆㄧㄢˋ,postcard,
卡片,ㄎㄚˇ ㄆㄧㄢˋ,card,
幫,ㄅㄤ,"to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society",
弄,ㄋㄨㄥˋ,to do / to manage / to handle / to play with / to fool with / to mess with / to fix / to toy with,
檢查,ㄐㄧㄢˇ ㄔㄚˊ,inspection / to examine / to inspect,次
通知,ㄊㄨㄥ ㄓ,to notify / to inform / notice / notification,個
通知,ㄊㄨㄥ ㄓ,to notify / to inform / notice / notification,個
叫,ㄐㄧㄠˋ,to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood),
麻煩,ㄇㄚˊ ㄈㄢˊ,inconvenient / troublesome / annoying / to trouble or bother sb / to put sb to trouble,
偷,ㄊㄡ,to steal / to pilfer / to snatch / thief / stealthily,
錢包,ㄑㄧㄢˊ ㄅㄠ,purse / wallet,
拉,ㄌㄚ,to pull / to play (a bowed instrument) / to drag / to draw / to chat,
小偷,ㄒㄧㄠˇ ㄊㄡ,thief,
滿,ㄇㄢˇ,to fill / full / filled / packed / fully / completely / quite / to reach the limit / to satisfy / satisfied / contented,
丟,ㄉㄧㄡ,to lose / to put aside / to throw,
啊,ㄚ,"modal particle ending sentence, showing affirmation, approval, or consent",
汽車,ㄑㄧˋ ㄔㄜ,car / automobile / bus,輛
輛,ㄌㄧㄤˋ,classifier for vehicles,
船,ㄔㄨㄢˊ,boat / vessel / ship,條 / 艘 / 隻
船兒,ㄔㄨㄢˊ ㄦ,boat / vessel / ship,條 / 艘 / 隻
停車場,ㄊㄧㄥˊ ㄔㄜ ㄔㄤˇ,parking lot / car park,
搭,ㄉㄚ,"to put up / to build (scaffolding) / to hang (clothes on a pole) / to connect / to join / to arrange in pairs / to match / to add / to throw in (resources) / to take (boat, train) / variant of 褡[da1]",
起飛,ㄑㄧˇ ㄈㄟ,(of an aircraft) to take off,
出,ㄔㄨ,"to go out / to come out / to occur / to produce / to go beyond / to rise / to put forth / to happen / (used after a verb to indicate an outward direction or a positive result) / classifier for dramas, plays, operas etc",
出來,ㄔㄨ ㄌㄞˊ,"(after a verb, indicates coming out, completion of an action, or ability to discern or detect)",
進,ㄐㄧㄣˋ,to go forward / to advance / to go in / to enter / to put in / to submit / to take in / to admit / (math.) base of a number system / classifier for sections in a building or residential compound,
進去,ㄐㄧㄣˋ ㄑㄩˋ,to go in,
回去,ㄏㄨㄟˊ ㄑㄩˋ,to return / to go back,
路口,ㄌㄨˋ ㄎㄡˇ,crossing / intersection (of roads),
紅綠燈,ㄏㄨㄥˊ ㄌㄩˋ ㄉㄥ,traffic light / traffic signal,
橋,ㄑㄧㄠˊ,bridge,座
左,ㄗㄨㄛˇ,left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐[zuo3],
右,ㄧㄡˋ,right (-hand) / the Right (politics) / west (old),
裡,ㄌㄧˇ,lining / interior / inside / internal / also written 裏[li3],
下,ㄒㄧㄚˋ,"down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action",
上,ㄕㄤˋ,on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university),
這邊,ㄓㄜˋ ㄅㄧㄢ,this side / here,
這些,ㄓㄜˋ ㄒㄧㄝ,these,
那些,ㄋㄚˋ ㄒㄧㄝ,those,
那邊,ㄋㄚˋ ㄅㄧㄢ,over there / yonder,
旅遊,ㄌㄩˇ ㄧㄡˊ,trip / journey / tourism / travel / tour / to travel,
動物園,ㄉㄨㄥˋ ㄨˋ ㄩㄢˊ,zoo,個
出發,ㄔㄨ ㄈㄚ,to set off / to start (on a journey),
離開,ㄌㄧˊ ㄎㄞ,to depart / to leave,
向,ㄒㄧㄤˋ,towards / to face / to turn towards / direction / to support / to side with / shortly before / formerly / always / all along / (suffix) suitable for ... / oriented to ...,
南,ㄋㄢˊ,south,
南部,ㄋㄢˊ ㄅㄨˋ,southern part,
南邊,ㄋㄢˊ ㄅㄧㄢ,south / south side / southern part / to the south of,
西,ㄒㄧ,west,
西部,ㄒㄧ ㄅㄨˋ,western part,
西邊,ㄒㄧ ㄅㄧㄢ,west / west side / western part / to the west of,
北,ㄅㄟˇ,north / (classical) to be defeated,
北部,ㄅㄟˇ ㄅㄨˋ,northern part,
北邊,ㄅㄟˇ ㄅㄧㄢ,north / north side / northern part / to the north of,
東,ㄉㄨㄥ,east / host (i.e. sitting on east side of guest) / landlord,
東部,ㄉㄨㄥ ㄅㄨˋ,the east / eastern part,
東邊,ㄉㄨㄥ ㄅㄧㄢ,east / east side / eastern part / to the east of,
經過,ㄐㄧㄥ ㄍㄨㄛˋ,to pass / to go through / process / course,個
