詞彙,注音,英譯,量詞
出生,ㄔㄨ ㄕㄥ,to be born,
國,ㄍㄨㄛˊ,country / nation / state / national,個
不同,ㄅㄨˋ ㄊㄨㄥˊ,different / distinct / not the same / not alike,
地址,ㄉㄧˋ ㄓˇ,address,個
市,ㄕˋ,market / city,個
傳真,ㄔㄨㄢˊ ㄓㄣ,fax / facsimile,
留言,ㄌㄧㄡˊ ㄧㄢˊ,to leave a message / to leave one's comments / message,
日期,ㄖˋ ㄑㄧˊ,date,個
時間,ㄕˊ ㄐㄧㄢ,time / period,段
鐘頭,ㄓㄨㄥ ㄊㄡˊ,hour,個
晚,ㄨㄢˇ,evening / night / late,
夜,ㄧㄝˋ,night,
禮拜,ㄌㄧˇ ㄅㄞˋ,week / religious service / worship,個
禮拜天,ㄌㄧˇ ㄅㄞˋ ㄊㄧㄢ,Sunday,
前天,ㄑㄧㄢˊ ㄊㄧㄢ,the day before yesterday,
後天,ㄏㄡˋ ㄊㄧㄢ,the day after tomorrow / acquired (not innate) / a posteriori,
從前,ㄘㄨㄥˊ ㄑㄧㄢˊ,previously / formerly / once upon a time,
夏,ㄒㄧㄚˋ,summer,
冬,ㄉㄨㄥ,winter,
秋,ㄑㄧㄡ,autumn / fall / harvest time,
春,ㄔㄨㄣ,spring (season) / gay / joyful / youthful / love / lust / life,
一會兒,ㄧ ㄏㄨㄟˇ ㄦ,a moment / a while / in a moment / now...now... / also pr. [yi1 hui3 r5],
不久,ㄅㄨˋ ㄐㄧㄡˇ,not long (after) / before too long / soon / soon after,
剛剛,ㄍㄤ ㄍㄤ,just recently / just a moment ago,
剛才,ㄍㄤ ㄘㄞˊ,just now / a moment ago,
當然,ㄉㄤ ㄖㄢˊ,only natural / as it should be / certainly / of course / without doubt,
自己,ㄗˋ ㄐㄧˇ,oneself / one's own,
別人,ㄅㄧㄝˊ ㄖㄣˊ,other people / others / other person,
年紀,ㄋㄧㄢˊ ㄐㄧˋ,age,把 / 個
男人,ㄋㄢˊ ㄖㄣˊ,a man / a male / men,個
女人,ㄋㄩˇ ㄖㄣˊ,wife,
大人,ㄉㄚˋ ㄖㄣˊ,adult / grownup / title of respect toward superiors,
老人,ㄌㄠˇ ㄖㄣˊ,old man or woman / the elderly / one's aged parents or grandparents,
習慣,ㄒㄧˊ ㄍㄨㄢˋ,habit / custom / usual practice / to be used to,個
習慣,ㄒㄧˊ ㄍㄨㄢˋ,habit / custom / usual practice / to be used to,個
家庭,ㄐㄧㄚ ㄊㄧㄥˊ,family / household,戶 / 個
父親,ㄈㄨˋ ㄑㄧㄣ,father / also pr. [fu4 qin5],個
母親,ㄇㄨˇ ㄑㄧㄣ,mother / also pr. [mu3 qin5],個
父母,ㄈㄨˋ ㄇㄨˇ,father and mother / parents,
爺爺,ㄧㄝˊ ㄧㄝ˙,(coll.) father's father / paternal grandfather,個
奶奶,ㄋㄞˇ ㄋㄞ˙,(informal) grandma (paternal grandmother) / (respectful) mistress of the house / (coll.) boobies / breasts,位
關係,ㄍㄨㄢ ㄒㄧˋ,relation / relationship / to concern / to affect / to have to do with / guanxi,個
教堂,ㄐㄧㄠˋ ㄊㄤˊ,church / chapel,間
好,ㄏㄠˇ,to be fond of / to have a tendency to / to be prone to,
真,ㄓㄣ,really / truly / indeed / real / true / genuine,
最,ㄗㄨㄟˋ,most / the most / -est (superlative suffix),
更,ㄍㄥˋ,more / even more / further / still / still more,
愉快,ㄩˊ ㄎㄨㄞˋ,cheerful / cheerily / delightful / pleasant / pleasantly / pleasing / happy / delighted,
開心,ㄎㄞ ㄒㄧㄣ,to feel happy / to rejoice / to have a great time / to make fun of sb,
著急,ㄓㄠ ㄐㄧˊ,to worry / to feel anxious / Taiwan pr. [zhao1 ji2],
擔心,ㄉㄢ ㄒㄧㄣ,anxious / worried / uneasy / to worry / to be anxious,
