詞彙,注音,英譯,量詞
阿姨,ㄚ ㄧˊ,maternal aunt / step-mother / childcare worker / nursemaid / woman of similar age to one's parents (term of address used by child),個
哎,ㄞ,hey! / (interjection used to attract attention or to express surprise or disapprobation),
唉,ㄞ,alas / oh dear,
愛,ㄞˋ,to love / to be fond of / to like / affection / to be inclined (to do sth) / to tend to (happen),
愛情,ㄞˋ ㄑㄧㄥˊ,romance / love (romantic),個 / 份
愛惜,ㄞˋ ㄒㄧˊ,to cherish / to treasure / to use sparingly,
愛心,ㄞˋ ㄒㄧㄣ,"compassion / kindness / care for others / love / charity (bazaar, golf day etc) / heart (the symbol ♥)",片
安定,ㄢ ㄉㄧㄥˋ,stable / quiet / settled / stabilize / maintain / stabilized / calm and orderly,
安排,ㄢ ㄆㄞˊ,to arrange / to plan / to set up / arrangements / plans,
安排,ㄢ ㄆㄞˊ,to arrange / to plan / to set up / arrangements / plans,
安心,ㄢ ㄒㄧㄣ,at ease / to feel relieved / to set one's mind at rest / to keep one's mind on sth,
按,ㄢˋ,to press / to push / to leave aside or shelve / to control / to restrain / to keep one's hand on / to check or refer to / according to / in the light of / (of an editor or author) to make a comment,
按照,ㄢˋ ㄓㄠˋ,according to / in accordance with / in the light of / on the basis of,
巴士,ㄅㄚ ㄕˋ,bus (loanword) / motor coach,
把,ㄅㄚˇ,handle,
把握,ㄅㄚˇ ㄨㄛˋ,to grasp (also fig.) / to seize / to hold / assurance / certainty / sure (of the outcome),
白,ㄅㄞˊ,white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera,
白,ㄅㄞˊ,white / snowy / pure / bright / empty / blank / plain / clear / to make clear / in vain / gratuitous / free of charge / reactionary / anti-communist / funeral / to stare coldly / to write wrong character / to state / to explain / vernacular / spoken lines in opera,
白白,ㄅㄞˊ ㄅㄞˊ,in vain / to no purpose / for nothing / white,
白菜,ㄅㄞˊ ㄘㄞˋ,Chinese cabbage / pak choi,棵 /  個
白天,ㄅㄞˊ ㄊㄧㄢ,daytime / during the day / day,個
擺,ㄅㄞˇ,to arrange / to exhibit / to move to and fro / a pendulum,
百貨公司,ㄅㄞˇ ㄏㄨㄛˋ ㄍㄨㄥ ㄙ,department store,
班機,ㄅㄢ ㄐㄧ,airliner / (regular) flight,趟 / 次 / 班
搬家,ㄅㄢ ㄐㄧㄚ,to move house / removal,
辦,ㄅㄢˋ,to do / to manage / to handle / to go about / to run / to set up / to deal with,
