詞彙,注音,英譯,量詞
辦理,ㄅㄢˋ ㄌㄧˇ,to handle / to transact / to conduct,
半天,ㄅㄢˋ ㄊㄧㄢ,half of the day / a long time / quite a while / midair,個
半夜,ㄅㄢˋ ㄧㄝˋ,midnight / in the middle of the night,
幫助,ㄅㄤ ㄓㄨˋ,assistance / aid / to help / to assist,
榜樣,ㄅㄤˇ ㄧㄤˋ,example / model,個
棒,ㄅㄤˋ,stick / club / cudgel / smart / capable / strong / wonderful / classifier for legs of a relay race,
包,ㄅㄠ,to cover / to wrap / to hold / to include / to take charge of / to contract (to or for) / package / wrapper / container / bag / to hold or embrace / bundle / packet,個 / 隻
包含,ㄅㄠ ㄏㄢˊ,to contain / to embody / to include,
寶貝,ㄅㄠˇ ㄅㄟˋ,treasured object / treasure / darling / baby / cowry / good-for-nothing or queer character,
寶貴,ㄅㄠˇ ㄍㄨㄟˋ,valuable / precious / to value / to treasure / to set store by,
保護,ㄅㄠˇ ㄏㄨˋ,to protect / to defend / to safeguard / protection,種
保守,ㄅㄠˇ ㄕㄡˇ,conservative / to guard / to keep,
保養,ㄅㄠˇ ㄧㄤˇ,to take good care of (or conserve) one's health / to keep in good repair / to maintain / maintenance,
保證,ㄅㄠˇ ㄓㄥˋ,guarantee / to guarantee / to ensure / to safeguard / to pledge,個
保証,ㄅㄠˇ ㄓㄥˋ,guarantee / to guarantee / to ensure / to safeguard / to pledge,個
保證,ㄅㄠˇ ㄓㄥˋ,guarantee / to guarantee / to ensure / to safeguard / to pledge,個
保証,ㄅㄠˇ ㄓㄥˋ,guarantee / to guarantee / to ensure / to safeguard / to pledge,個
抱,ㄅㄠˋ,to hold / to carry (in one's arms) / to hug / to embrace / to surround / to cherish,
抱怨,ㄅㄠˋ ㄩㄢˋ,to complain / to grumble / to harbor a complaint / to feel dissatisfied,
報名,ㄅㄠˋ ㄇㄧㄥˊ,to sign up / to enter one's name / to apply / to register / to enroll / to enlist,
背包,ㄅㄟ ㄅㄠ,knapsack / rucksack / infantry pack / field pack / blanket roll,個
北方,ㄅㄟˇ ㄈㄤ,north / the northern part a country / China north of the Yellow River,
被動,ㄅㄟˋ ㄉㄨㄥˋ,passive,
背後,ㄅㄟˋ ㄏㄡˋ,behind / at the back / in the rear / behind sb's back,
背景,ㄅㄟˋ ㄐㄧㄥˇ,background / backdrop / context / (fig.) powerful backer,種
輩子,ㄅㄟˋ ㄗ˙,all one's life / lifetime,
本,ㄅㄣˇ,"root / stem / origin / source / this / the current / original / inherent / originally / classifier for books, periodicals, files etc",
本人,ㄅㄣˇ ㄖㄣˊ,the person himself / I (humble form used in speeches) / oneself / myself / in person / personal,
本子,ㄅㄣˇ ㄗ˙,book / notebook / edition,本
笨,ㄅㄣˋ,stupid / foolish / silly / slow-witted / clumsy,
逼,ㄅㄧ,to force (sb to do sth) / to compel / to press for / to extort / to press on towards / to press up to / to close in on / euphemistic variant of 屄[bi1],
筆,ㄅㄧˇ,"pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals",支 / 枝
比,ㄅㄧˇ,to associate with / to be near,
比如,ㄅㄧˇ ㄖㄨˊ,for example / for instance / such as,
比如說,ㄅㄧˇ ㄖㄨˊ ㄕㄨㄛ,for example / for instance / such as,
畢竟,ㄅㄧˋ ㄐㄧㄥˋ,after all / all in all / when all is said and done / in the final analysis,
避免,ㄅㄧˋ ㄇㄧㄢˇ,to avert / to prevent / to avoid / to refrain from,
必要,ㄅㄧˋ ㄧㄠˋ,necessary / essential / indispensable / required,
鞭炮,ㄅㄧㄢ ㄆㄠˋ,firecrackers / string of small firecrackers,枚
變,ㄅㄧㄢˋ,to change / to become different / to transform / to vary / rebellion,
變成,ㄅㄧㄢˋ ㄔㄥˊ,to change into / to turn into / to become,
變更,ㄅㄧㄢˋ ㄍㄥ,to change / to alter / to modify,
變化,ㄅㄧㄢˋ ㄏㄨㄚˋ,change / variation / to change / to vary,個
變化,ㄅㄧㄢˋ ㄏㄨㄚˋ,change / variation / to change / to vary,個
便條,ㄅㄧㄢˋ ㄊㄧㄠˊ,(informal) note,張 / 個
標準,ㄅㄧㄠ ㄓㄨㄣˇ,(an official) standard / norm / criterion,個
標準,ㄅㄧㄠ ㄓㄨㄣˇ,(an official) standard / norm / criterion,個
表,ㄅㄧㄠˇ,exterior surface / family relationship via females / to show (one's opinion) / a model / a table (listing information) / a form / a meter (measuring sth),
表達,ㄅㄧㄠˇ ㄉㄚˊ,to express / to convey,
表面,ㄅㄧㄠˇ ㄇㄧㄢˋ,surface / face / outside / appearance,
表示,ㄅㄧㄠˇ ㄕˋ,to express / to show / to say / to state / to indicate / to mean,
表現,ㄅㄧㄠˇ ㄒㄧㄢˋ,to show / to show off / to display / to manifest / expression / manifestation / show / display / performance (at work etc) / behavior,
表現,ㄅㄧㄠˇ ㄒㄧㄢˋ,to show / to show off / to display / to manifest / expression / manifestation / show / display / performance (at work etc) / behavior,
表演,ㄅㄧㄠˇ ㄧㄢˇ,play / show / performance / exhibition / to perform / to act / to demonstrate,場
別的,ㄅㄧㄝˊ ㄉㄜ˙,else / other,
冰,ㄅㄧㄥ,ice / to chill sth / (of an object or substance) to feel cold / (of a person) cold / unfriendly / (slang) methamphetamine,塊
冰塊,ㄅㄧㄥ ㄎㄨㄞˋ,ice cube / ice chunk,
冰塊兒,ㄅㄧㄥ ㄎㄨㄞˋ ㄦ,ice cube / ice chunk,
餅,ㄅㄧㄥˇ,round flat cake / cookie / cake / pastry,張
病,ㄅㄧㄥˋ,illness / disease / to fall ill / defect,場
伯伯,ㄅㄛˊ ㄅㄛ˙,father's elder brother / uncle,
博士,ㄅㄛˊ ㄕˋ,doctor / court academician (in feudal China) / Ph.D.,
播,ㄅㄛˋ,to sow / to scatter / to spread / to broadcast / Taiwan pr. [bo4],
不必,ㄅㄨˋ ㄅㄧˋ,need not / does not have to / not necessarily,
不斷,ㄅㄨˋ ㄉㄨㄢˋ,unceasing / uninterrupted / continuous / constant,
不斷,ㄅㄨˋ ㄉㄨㄢˋ,unceasing / uninterrupted / continuous / constant,
不過,ㄅㄨˋ ㄍㄨㄛˋ,only / merely / no more than / but / however / anyway (to get back to a previous topic) / cannot be more (after adjectival),
不過,ㄅㄨˋ ㄍㄨㄛˋ,only / merely / no more than / but / however / anyway (to get back to a previous topic) / cannot be more (after adjectival),
不見,ㄅㄨˋ ㄐㄧㄢˋ,not to see / not to meet / to have disappeared / to be missing,
不見了,ㄅㄨˋ ㄐㄧㄢˋ ㄌㄜ˙,to have disappeared / to be missing / nowhere to be found,
不論,ㄅㄨˋ ㄌㄨㄣˋ,"whatever / no matter what (who, how etc) / regardless of / not to discuss",
不幸,ㄅㄨˋ ㄒㄧㄥˋ,misfortune / adversity / unfortunate / sad / unfortunately,個
不用說,ㄅㄨˋ ㄩㄥˋ ㄕㄨㄛ,needless to say / it goes without saying,
不得不,ㄅㄨˋ ㄉㄜˊ ㄅㄨˋ,have no choice or option but to / cannot but / have to / can't help it / can't avoid,
不得了,ㄅㄨˋ ㄉㄜˊ ㄌㄧㄠˇ,desperately serious / disastrous / extremely / exceedingly,
不管,ㄅㄨˋ ㄍㄨㄢˇ,not to be concerned / regardless of / no matter,
不滿,ㄅㄨˋ ㄇㄢˇ,resentful / discontented / dissatisfied,
不如,ㄅㄨˋ ㄖㄨˊ,not equal to / not as good as / inferior to / it would be better to,
不少,ㄅㄨˋ ㄕㄠˇ,many / a lot / not few,
不少,ㄅㄨˋ ㄕㄠˇ,many / a lot / not few,
不足,ㄅㄨˋ ㄗㄨˊ,insufficient / lacking / deficiency / not enough / inadequate / not worth / cannot / should not,
部,ㄅㄨˋ,"ministry / department / section / part / division / troops / board / classifier for works of literature, films, machines etc",
部分,ㄅㄨˋ ㄈㄣˋ,part / share / section / piece,個
部份,ㄅㄨˋ ㄈㄣˋ,part / share / section / piece,個
部分,ㄅㄨˋ ㄈㄣˋ,part / share / section / piece,個
部份,ㄅㄨˋ ㄈㄣˋ,part / share / section / piece,個
部門,ㄅㄨˋ ㄇㄣˊ,department / branch / section / division,個
布,ㄅㄨˋ,cloth / to declare / to announce / to spread / to make known,
布置,ㄅㄨˋ ㄓˋ,to put in order / to arrange / to decorate / to fix up / to deploy,
佈置,ㄅㄨˋ ㄓˋ,to put in order / to arrange / to decorate / to fix up / to deploy,
擦,ㄘㄚ,to wipe / to erase / rubbing (brush stroke in painting) / to clean / to polish,
猜,ㄘㄞ,to guess,
材料,ㄘㄞˊ ㄌㄧㄠˋ,material / data / makings / stuff,個 / 種
採用,ㄘㄞˇ ㄩㄥˋ,to adopt / to employ / to use,
餐,ㄘㄢ,meal / to eat / classifier for meals,
餐桌,ㄘㄢ ㄓㄨㄛ,dining table / dinner table,
參考,ㄘㄢ ㄎㄠˇ,consultation / reference / to consult / to refer,
草地,ㄘㄠˇ ㄉㄧˋ,lawn / meadow / sod / turf,片
草原,ㄘㄠˇ ㄩㄢˊ,grassland / prairie,片
層,ㄘㄥˊ,layer / stratum / laminated / floor (of a building) / storey / classifier for layers / repeated / sheaf (math.),
曾,ㄘㄥˊ,"great-grand (father, child etc)",
曾經,ㄘㄥˊ ㄐㄧㄥ,once / already / former / previously / ever / (past tense marker used before verb or clause),
差別,ㄔㄚ ㄅㄧㄝˊ,difference / distinction / disparity,
差異,ㄔㄚ ㄧˋ,difference / discrepancy,
查,ㄔㄚˊ,see 山查[shan1 zha1],
差一點,ㄔㄚˋ ㄧ ㄉㄧㄢˇ,see 差點点[cha4 dian3],
差點,ㄔㄚˋ ㄉㄧㄢˇ,almost / nearly,
差一點兒,ㄔㄚˋ ㄧ ㄉㄧㄢˇ ㄦ,erhua variant of 差一點一点[cha4 yi1 dian3],
差點兒,ㄔㄚˋ ㄉㄧㄢˇ ㄦ,erhua variant of 差點点[cha4 dian3],
產品,ㄔㄢˇ ㄆㄧㄣˇ,goods / merchandise / product,個
產生,ㄔㄢˇ ㄕㄥ,to arise / to come into being / to come about / to give rise to / to bring into being / to bring about / to produce / to engender / to generate / to appear / appearance / emergence / generation / production / yield,
常,ㄔㄤˊ,always / ever / often / frequently / common / general / constant,
嘗試,ㄔㄤˊ ㄕˋ,to try / to attempt,次
嚐試,ㄔㄤˊ ㄕˋ,to try / to attempt,次
場,ㄔㄤˇ,large place used for a specific purpose / stage / scene (of a play) / classifier for sporting or recreational activities / classifier for number of exams,
超過,ㄔㄠ ㄍㄨㄛˋ,to surpass / to exceed / to outstrip,
超級,ㄔㄠ ㄐㄧˊ,super- / ultra- / hyper-,
炒,ㄔㄠˇ,to sauté / to stir-fry / to speculate / to hype / to fire (sb),
吵,ㄔㄠˇ,to quarrel / to make a noise / noisy / to disturb by making a noise,
吵架,ㄔㄠˇ ㄐㄧㄚˋ,to quarrel / to have a row / quarrel,頓
車禍,ㄔㄜ ㄏㄨㄛˋ,traffic accident / car crash,場
趁,ㄔㄣˋ,to avail oneself of / to take advantage of,
成,ㄔㄥˊ,to succeed / to finish / to complete / to accomplish / to become / to turn into / to be all right / OK! / one tenth,
成果,ㄔㄥˊ ㄍㄨㄛˇ,result / achievement / gain / profit,個
成就,ㄔㄥˊ ㄐㄧㄡˋ,accomplishment / success / achievement / to achieve (a result) / to create / to bring about,個
成熟,ㄔㄥˊ ㄕㄡˊ,mature / ripe / to mature / to ripen / Taiwan pr. [cheng2 shou2],
成長,ㄔㄥˊ ㄓㄤˇ,to mature / to grow / growth,
程度,ㄔㄥˊ ㄉㄨˋ,degree (level or extent) / level,個
承認,ㄔㄥˊ ㄖㄣˋ,"to admit / to concede / to recognize / recognition (diplomatic, artistic etc) / to acknowledge",
誠實,ㄔㄥˊ ㄕˊ,honest / honesty / honorable / truthful,
吃喝玩樂,ㄔ ㄏㄜ ㄨㄢˊ ㄌㄜˋ,"to eat, drink and be merry (idiom) / to abandon oneself to a life of pleasure",
尺,ㄔˇ,a Chinese foot / one-third of a meter / a ruler / a tape-measure / one of the three acupoints for measuring pulse in Chinese medicine,支 / 把
充實,ㄔㄨㄥ ㄕˊ,rich / full / substantial / to enrich / to augment / to substantiate (an argument),
重新,ㄔㄨㄥˊ ㄒㄧㄣ,again / once more / re-,
蟲,ㄔㄨㄥˊ,"lower form of animal life, including insects, insect larvae, worms and similar creatures / person with a particular undesirable characteristic",條 / 隻
蟲子,ㄔㄨㄥˊ ㄗ˙,insect / bug / worm,條 / 隻
抽,ㄔㄡ,to draw out / to pull out from in between / to remove part of the whole / (of certain plants) to sprout or bud / to whip or thrash,
醜,ㄔㄡˇ,shameful / ugly / disgraceful,
臭,ㄔㄡˋ,sense of smell / smell bad,
初,ㄔㄨ,at first / (at the) beginning / first / junior / basic,
出版,ㄔㄨ ㄅㄢˇ,to publish,
出差,ㄔㄨ ㄔㄞ,to go on an official or business trip,
出門,ㄔㄨ ㄇㄣˊ,to go out / to leave home / to go on a journey / away from home / (of a woman) to get married,
出租,ㄔㄨ ㄗㄨ,to rent,
除了,ㄔㄨˊ ㄌㄜ˙,besides / apart from (... also...) / in addition to / except (for),
除夕,ㄔㄨˊ ㄒㄧˋ,lunar New Year's Eve,
廚師,ㄔㄨˊ ㄕ,cook / chef,
處理,ㄔㄨˇ ㄌㄧˇ,to handle / to treat / to deal with / to process / to deal with a criminal case / to mete out punishment / to offer for sale at a reduced price / to punish,
傳統,ㄔㄨㄢˊ ㄊㄨㄥˇ,tradition / traditional / convention / conventional,個
串,ㄔㄨㄢˋ,"to string together / to skewer / to connect wrongly / to gang up / to rove / string / bunch / skewer / classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of / to make a swift or abrupt linear movement (like a bead on an abacus) / to move across",
創造,ㄔㄨㄤˋ ㄗㄠˋ,to create / to bring about / to produce / to set (a record),
吹,ㄔㄨㄟ,to blow / to play a wind instrument / to blast / to puff / to boast / to brag / to end in failure / to fall through,
春節,ㄔㄨㄣ ㄐㄧㄝˊ,Spring Festival (Chinese New Year),
詞,ㄘˊ,"word / statement / speech / lyrics / a form of lyric poetry, flourishing in the Song dynasty 宋朝朝[Song4 chao2]",組 / 個 / 首
此,ㄘˇ,this / these,
刺激,ㄘˋ ㄐㄧ,to provoke / to irritate / to upset / to stimulate / to excite / irritant,
刺激,ㄘˋ ㄐㄧ,to provoke / to irritate / to upset / to stimulate / to excite / irritant,
從不,ㄘㄨㄥˊ ㄅㄨˋ,never,
從來,ㄘㄨㄥˊ ㄌㄞˊ,always / at all times / never (if used in negative sentence),
從小,ㄘㄨㄥˊ ㄒㄧㄠˇ,from childhood / from a young age,
醋,ㄘㄨˋ,vinegar / jealousy (in love rivalry),
存,ㄘㄨㄣˊ,to exist / to deposit / to store / to keep / to survive,
存在,ㄘㄨㄣˊ ㄗㄞˋ,to exist / to be / existence,
寸,ㄘㄨㄣˋ,a unit of length / inch / thumb,
錯,ㄘㄨㄛˋ,mistake / wrong / bad / interlocking / complex / to grind / to polish / to alternate / to stagger / to miss / to let slip / to evade / to inlay with gold or silver,
錯誤,ㄘㄨㄛˋ ㄨˋ,error / mistake / mistaken / false / wrong,個
挫折,ㄘㄨㄛˋ ㄓㄜˊ,setback / reverse / check / defeat / frustration / disappointment / to frustrate / to discourage / to set sb back / to blunt / to subdue,
答應,ㄉㄚ ㄧㄥˋ,to answer / to respond / to answer positively / to agree / to accept / to promise,
達成,ㄉㄚˊ ㄔㄥˊ,to reach (an agreement) / to accomplish,
打工,ㄉㄚˇ ㄍㄨㄥ,"to work a temporary or casual job / (of students) to have a job outside of class time, or during vacation",
打架,ㄉㄚˇ ㄐㄧㄚˋ,to fight / to scuffle / to come to blows,場
打聽,ㄉㄚˇ ㄊㄧㄥ,to ask about / to make some inquiries / to ask around,
打仗,ㄉㄚˇ ㄓㄤˋ,to fight a battle / to go to war,
打折,ㄉㄚˇ ㄓㄜˊ,to give a discount,
大大,ㄉㄚˋ ㄉㄚˋ,greatly / enormously / (dialect) dad / uncle,
大多數,ㄉㄚˋ ㄉㄨㄛ ㄕㄨˋ,(great) majority,
大方,ㄉㄚˋ ㄈㄤ,generous / magnanimous / stylish / in good taste / easy-mannered / natural and relaxed,
大概,ㄉㄚˋ ㄍㄞˋ,roughly / probably / rough / approximate / about / general idea,
大會,ㄉㄚˋ ㄏㄨㄟˋ,general assembly / general meeting / convention,個 / 屆
大陸,ㄉㄚˋ ㄌㄨˋ,continent / mainland,個 / 塊
大門,ㄉㄚˋ ㄇㄣˊ,entrance / door / gate / large and influential family,
大小,ㄉㄚˋ ㄒㄧㄠˇ,dimension / magnitude / size / measurement / large and small / at any rate / adults and children / consideration of seniority,
大約,ㄉㄚˋ ㄩㄝ,approximately / probably,
袋,ㄉㄞˋ,pouch / bag / sack / pocket,
代表,ㄉㄞˋ ㄅㄧㄠˇ,representative / delegate / to represent / to stand for / on behalf of / in the name of,位 / 個 / 名
代表,ㄉㄞˋ ㄅㄧㄠˇ,representative / delegate / to represent / to stand for / on behalf of / in the name of,位 / 個 / 名
代替,ㄉㄞˋ ㄊㄧˋ,to replace / to take the place of,
帶來,ㄉㄞˋ ㄌㄞˊ,to bring / to bring about / to produce,
帶領,ㄉㄞˋ ㄌㄧㄥˇ,to guide / to lead,
單純,ㄉㄢ ㄔㄨㄣˊ,simple / pure / unsophisticated / merely / purely,
單身,ㄉㄢ ㄕㄣ,unmarried / single,
擔任,ㄉㄢ ㄖㄣˋ,to hold a governmental office or post / to assume office of / to take charge of / to serve as,
但,ㄉㄢˋ,but / yet / however / only / merely / still,
淡,ㄉㄢˋ,insipid / diluted / weak / mild / light in color / tasteless / indifferent / (variant of 氮[dan4]) nitrogen,
當,ㄉㄤ,at or in the very same... / suitable / adequate / fitting / proper / to replace / to regard as / to think / to pawn / (coll.) to fail (a student),
當場,ㄉㄤ ㄔㄤˇ,at the scene / on the spot,
當地,ㄉㄤ ㄉㄧˋ,local,
當面,ㄉㄤ ㄇㄧㄢˋ,to sb's face / in sb's presence,
當年,ㄉㄤ ㄋㄧㄢˊ,that very same year,
當天,ㄉㄤˋ ㄊㄧㄢ,the same day,
當中,ㄉㄤ ㄓㄨㄥ,among / in the middle / in the center,
當作,ㄉㄤˋ ㄗㄨㄛˋ,to treat as / to regard as,
當做,ㄉㄤˋ ㄗㄨㄛˋ,to treat as / to regard as / to look upon as,
倒,ㄉㄠˇ,to place upside down / to invert / to pour / to throw out / to move backwards / however / actually / as a matter of fact / contrary to expectation,
島,ㄉㄠˇ,island,個 / 座
導演,ㄉㄠˇ ㄧㄢˇ,to direct / director (film etc),
到,ㄉㄠˋ,to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action),
到,ㄉㄠˋ,to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action),
到處,ㄉㄠˋ ㄔㄨˋ,everywhere,
到底,ㄉㄠˋ ㄉㄧˇ,finally / in the end / when all is said and done / after all / to the end / to the last,
到底,ㄉㄠˋ ㄉㄧˇ,finally / in the end / when all is said and done / after all / to the end / to the last,
道德,ㄉㄠˋ ㄉㄜˊ,virtue / morality / ethics,種
道教,ㄉㄠˋ ㄐㄧㄠˋ,Taoism / Daoism (Chinese system of beliefs),
道理,ㄉㄠˋ ㄌㄧˇ,reason / argument / sense / principle / basis / justification,個
道歉,ㄉㄠˋ ㄑㄧㄢˋ,to apologize,
倒,ㄉㄠˋ,to place upside down / to invert / to pour / to throw out / to move backwards / however / actually / as a matter of fact / contrary to expectation,
倒是,ㄉㄠˋ ㄕˋ,contrary to what one might expect / actually / contrariwise / why don't you,
得,ㄉㄜˊ,to have to / must / ought to / to need to,
得到,ㄉㄜˊ ㄉㄠˋ,to get / to obtain / to receive,
得意,ㄉㄜˊ ㄧˋ,proud of oneself / pleased with oneself / complacent,
得很,ㄉㄜ˙ ㄏㄣˇ,(after an adjective) very,
的話,ㄉㄜ˙ ㄏㄨㄚˋ,if (coming after a conditional clause),
得,ㄉㄟˇ,to have to / must / ought to / to need to,
燈光,ㄉㄥ ㄍㄨㄤ,(stage) lighting / light,
等,ㄉㄥˇ,class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once,
等,ㄉㄥˇ,class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once,
等等,ㄉㄥˇ ㄉㄥˇ,et cetera / and so on ... / wait a minute! / hold on!,
等待,ㄉㄥˇ ㄉㄞˋ,to wait / to wait for,
低,ㄉㄧ,low / beneath / to lower (one's head) / to let droop / to hang down / to incline,
敵人,ㄉㄧˊ ㄖㄣˊ,enemy,個
底,ㄉㄧˇ,"background / bottom / base / end (of the month, year etc) / remnants / (math.) radix / base",
底下,ㄉㄧˇ ㄒㄧㄚˋ,the location below sth / afterwards,
抵達,ㄉㄧˇ ㄉㄚˊ,to arrive / to reach (a destination),
地,ㄉㄧˋ,earth / ground / field / place / land,片
地板,ㄉㄧˋ ㄅㄢˇ,floor,
地帶,ㄉㄧˋ ㄉㄞˋ,zone,個
地點,ㄉㄧˋ ㄉㄧㄢˇ,place / site / location / venue,個
地理,ㄉㄧˋ ㄌㄧˇ,geography,
地區,ㄉㄧˋ ㄑㄩ,"local / regional / district (not necessarily formal administrative unit) / region / area / as suffix to city name, means prefecture or county (area administered by a prefecture-level city or county level city)",個
地攤,ㄉㄧˋ ㄊㄢ,street stall with goods laid out on the ground,
地位,ㄉㄧˋ ㄨㄟˋ,position / status / place,個
地下,ㄉㄧˋ ㄒㄧㄚˋ,underground / subterranean / covert,
地形,ㄉㄧˋ ㄒㄧㄥˊ,topography / terrain / landform,
點,ㄉㄧㄢˇ,point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items,
點,ㄉㄧㄢˇ,point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items,
點,ㄉㄧㄢˇ,point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items,
點,ㄉㄧㄢˇ,point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items,
點兒,ㄉㄧㄢˇ ㄦ,erhua variant of 點[dian3],
電,ㄉㄧㄢˋ,electric / electricity / electrical,
電車,ㄉㄧㄢˋ ㄔㄜ,trolleybus,輛
電池,ㄉㄧㄢˋ ㄔˊ,battery,節 / 組
電燈,ㄉㄧㄢˋ ㄉㄥ,electric light,盞
店員,ㄉㄧㄢˋ ㄩㄢˊ,shop assistant / salesclerk / salesperson,
調查,ㄉㄧㄠˋ ㄔㄚˊ,investigation / inquiry / to investigate / to survey / survey / (opinion) poll,項 / 個
訂,ㄉㄧㄥˋ,to agree / to conclude / to draw up / to subscribe to (a newspaper etc) / to order,
丟,ㄉㄧㄡ,to lose / to put aside / to throw,
東北,ㄉㄨㄥ ㄅㄟˇ,northeast,
東方,ㄉㄨㄥ ㄈㄤ,east,
東南,ㄉㄨㄥ ㄋㄢˊ,southeast,
懂事,ㄉㄨㄥˇ ㄕˋ,sensible / thoughtful / intelligent,
逗,ㄉㄡˋ,"to stay / to stop / to tease (play with) / amusing / short pause in reading aloud, equivalent to comma (also written 讀[dou4])",
豆腐,ㄉㄡˋ ㄈㄨˇ,tofu / bean curd,
豆漿,ㄉㄡˋ ㄐㄧㄤ,soy milk,
都市,ㄉㄨ ㄕˋ,city / metropolis,
毒品,ㄉㄨˊ ㄆㄧㄣˇ,drugs / narcotics / poison,
獨特,ㄉㄨˊ ㄊㄜˋ,unique / distinct / having special characteristics,
讀者,ㄉㄨˊ ㄓㄜˇ,reader,個
段,ㄉㄨㄢˋ,"paragraph / section / segment / stage (of a process) / classifier for stories, periods of time, lengths of thread etc",
堆,ㄉㄨㄟ,to pile up / to heap up / a mass / pile / heap / stack / large amount,
對,ㄉㄨㄟˋ,right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple,
對,ㄉㄨㄟˋ,right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple,
對,ㄉㄨㄟˋ,right / correct / couple / pair / towards / at / for / to face / opposite / to treat (sb a certain way) / to match together / to adjust / to fit / to suit / to answer / to reply / classifier: couple,
對方,ㄉㄨㄟˋ ㄈㄤ,counterpart / other person involved / opposite side / other side / receiving party,
對話,ㄉㄨㄟˋ ㄏㄨㄚˋ,dialogue,個
