詞彙,注音,英譯,量詞
貓,ㄇㄠ,cat / (dialect) to hide oneself / (coll.) modem,隻
雞,ㄐㄧ,fowl / chicken / (slang) prostitute,隻
太陽,ㄊㄞˋ ㄧㄤˊ,sun / abbr. for 太陽穴阳穴[tai4 yang2 xue2],個
下雨,ㄒㄧㄚˋ ㄩˇ,to rain,
下雪,ㄒㄧㄚˋ ㄒㄩㄝˇ,to snow,
新年,ㄒㄧㄣ ㄋㄧㄢˊ,New Year,個
游泳,ㄧㄡˊ ㄩㄥˇ,swimming / to swim,
踢,ㄊㄧ,to kick / to play (e.g. soccer) / (slang) butch (in a lesbian relationship),
足球,ㄗㄨˊ ㄑㄧㄡˊ,soccer ball / a football / soccer / football,個
籃球,ㄌㄢˊ ㄑㄧㄡˊ,basketball,個 / 隻
網球,ㄨㄤˇ ㄑㄧㄡˊ,tennis / tennis ball,個
棒球,ㄅㄤˋ ㄑㄧㄡˊ,baseball,個 / 隻
比賽,ㄅㄧˇ ㄙㄞˋ,competition (sports etc) / match / to compete,場 / 次
比賽,ㄅㄧˇ ㄙㄞˋ,competition (sports etc) / match / to compete,場 / 次
騎,ㄑㄧˊ,"to sit astride / to ride (a horse, bike etc) / classifier for saddle horses",
腳踏車,ㄐㄧㄠˇ ㄊㄚˋ ㄔㄜ,bicycle / bike (Tw),輛
自行車,ㄗˋ ㄒㄧㄥˊ ㄔㄜ,bicycle / bike,輛
跑步,ㄆㄠˇ ㄅㄨˋ,to run / to jog / (military) to march at the double,
電影院,ㄉㄧㄢˋ ㄧㄥˇ ㄩㄢˋ,cinema / movie theater,家 / 座
表演,ㄅㄧㄠˇ ㄧㄢˇ,play / show / performance / exhibition / to perform / to act / to demonstrate,場
上網,ㄕㄤˋ ㄨㄤˇ,"to go online / to connect to the Internet / (of a document etc) to be uploaded to the Internet / (tennis, volleyball etc) to move in close to the net",
輸,ㄕㄨ,to lose / to transport / to donate / to enter (a password),
贏,ㄧㄥˊ,to beat / to win / to profit,
有時候,ㄧㄡˇ ㄕˊ ㄏㄡˋ,sometimes,
久,ㄐㄧㄡˇ,(long) time / (long) duration of time,
報紙,ㄅㄠˋ ㄓˇ,newspaper / newsprint,份 / 期 / 張
不客氣,ㄅㄨˋ ㄎㄜˋ ㄑㄧˋ,you're welcome / don't mention it / impolite / rude / blunt,
禮物,ㄌㄧˇ ㄨˋ,gift / present,件 / 個 / 份
歡迎,ㄏㄨㄢ ㄧㄥˊ,to welcome / welcome,
晚會,ㄨㄢˇ ㄏㄨㄟˋ,evening party,個
信封,ㄒㄧㄣˋ ㄈㄥ,envelope,個
寄,ㄐㄧˋ,to send / to mail / to entrust / to depend on / to attach oneself to / to live (in a house) / to lodge / foster (son etc),
接,ㄐㄧㄝ,to receive / to answer (the phone) / to meet or welcome sb / to connect / to catch / to join / to extend / to take one's turn on duty / to take over for sb,
郵局,ㄧㄡˊ ㄐㄩˊ,post office,家 / 個
銀行,ㄧㄣˊ ㄏㄤˊ,bank,家 / 個
警察,ㄐㄧㄥˇ ㄔㄚˊ,police / police officer,個
壞,ㄏㄨㄞˋ,bad / spoiled / broken / to break down / (suffix) to the utmost,
幫忙,ㄅㄤ ㄇㄤˊ,to help / to lend a hand / to do a favor / to do a good turn,
計程車,ㄐㄧˋ ㄔㄥˊ ㄔㄜ,(Tw) taxi / cab,
車站,ㄔㄜ ㄓㄢˋ,rail station / bus stop,處 / 個
火車,ㄏㄨㄛˇ ㄔㄜ,train,列 / 節 / 班 / 趟
飛機,ㄈㄟ ㄐㄧ,airplane,架
飛機場,ㄈㄟ ㄐㄧ ㄔㄤˇ,airport / (slang) flat chest,處
機場,ㄐㄧ ㄔㄤˇ,airport / airfield,家 / 處
馬路,ㄇㄚˇ ㄌㄨˋ,street / road,條
十字路口,ㄕˊ ㄗˋ ㄌㄨˋ ㄎㄡˇ,crossroads / intersection,
對面,ㄉㄨㄟˋ ㄇㄧㄢˋ,(sitting) opposite / across (the street) / directly in front / to be face to face,
裡面,ㄌㄧˇ ㄇㄧㄢˋ,inside / interior / also pr. [li3 mian5],
旅行,ㄌㄩˇ ㄒㄧㄥˊ,to travel / journey / trip,趟 / 次 / 個
飯店,ㄈㄢˋ ㄉㄧㄢˋ,restaurant / hotel,家 / 個
旅館,ㄌㄩˇ ㄍㄨㄢˇ,hotel,家
參觀,ㄘㄢ ㄍㄨㄢ,to look around / to tour / to visit,
地圖,ㄉㄧˋ ㄊㄨˊ,map,張 / 本
照相機,ㄓㄠˋ ㄒㄧㄤˋ ㄐㄧ,camera,個 / 架 / 部 / 台 / 隻
照相,ㄓㄠˋ ㄒㄧㄤˋ,to take a photograph,
風景,ㄈㄥ ㄐㄧㄥˇ,scenery / landscape,個
頭,ㄊㄡˊ,suffix for nouns,
頭髮,ㄊㄡˊ ㄈㄚˇ,hair (on the head),
耳朵,ㄦˇ ㄉㄨㄛ˙,ear / handle (on a cup),隻 / 個 / 對
手指,ㄕㄡˇ ㄓˇ,finger,個 / 隻
手指頭,ㄕㄡˇ ㄓˇ ㄊㄡˊ,fingertip / finger,
肚子,ㄉㄨˋ ㄗ˙,belly / abdomen / stomach,個
健康,ㄐㄧㄢˋ ㄎㄤ,health / healthy,
感冒,ㄍㄢˇ ㄇㄠˋ,to catch cold / (common) cold / (coll.) to be interested in (often used in the negative) / (Tw) to detest / can't stand,場 / 次
生病,ㄕㄥ ㄅㄧㄥˋ,to fall ill,
受傷,ㄕㄡˋ ㄕㄤ,to sustain injuries / wounded (in an accident etc) / harmed,
餓,ㄜˋ,to be hungry / hungry / to starve (sb),
渴,ㄎㄜˇ,thirsty,
舒服,ㄕㄨ ㄈㄨˊ,comfortable / feeling well,
眼鏡,ㄧㄢˇ ㄐㄧㄥˋ,spectacles / eyeglasses,副
痛,ㄊㄨㄥˋ,ache / pain / sorrow / deeply / thoroughly,
希望,ㄒㄧ ㄨㄤˋ,to wish for / to desire / hope,個
商店,ㄕㄤ ㄉㄧㄢˋ,store / shop,家 / 個
店,ㄉㄧㄢˋ,inn / shop / store,家
重要,ㄓㄨㄥˋ ㄧㄠˋ,important / significant / major,
公斤,ㄍㄨㄥ ㄐㄧㄣ,kilogram (kg),
顏色,ㄧㄢˊ ㄙㄜˋ,color / countenance / appearance / facial expression / pigment / dyestuff,
黃色,ㄏㄨㄤˊ ㄙㄜˋ,yellow (color) / pornographic,
白色,ㄅㄞˊ ㄙㄜˋ,white / fig. reactionary / anti-communist,
襪子,ㄨㄚˋ ㄗ˙,socks / stockings,隻 / 對 / 雙
裙子,ㄑㄩㄣˊ ㄗ˙,skirt,條
短,ㄉㄨㄢˇ,short / brief / to lack / weak point / fault,
小心,ㄒㄧㄠˇ ㄒㄧㄣ,to be careful / to take care,
牛奶,ㄋㄧㄡˊ ㄋㄞˇ,cow's milk,瓶 / 杯
蛋,ㄉㄢˋ,egg / oval-shaped thing,個 / 打
餃子,ㄐㄧㄠˇ ㄗ˙,dumpling / pot-sticker,個 / 隻
麵,ㄇㄧㄢˋ,flour / noodles / (of food) soft (not crunchy) / (slang) (of a person) ineffectual / spineless,
