詞彙,注音,英譯,量詞
腐蝕,ㄈㄨˇ ㄕˊ,corrosion / to corrode (degrade chemically) / to rot / corruption,
腐朽,ㄈㄨˇ ㄒㄧㄡˇ,rotten / decayed / decadent / degenerate,
付,ㄈㄨˋ,to pay / to hand over to / classifier for pairs or sets of things,
付款,ㄈㄨˋ ㄎㄨㄢˇ,to pay a sum of money / payment,
負,ㄈㄨˋ,to bear / to carry (on one's back) / to turn one's back on / to be defeated / negative (math. etc),
負面,ㄈㄨˋ ㄇㄧㄢˋ,negative / the negative side,
副,ㄈㄨˋ,"secondary / auxiliary / deputy / assistant / vice- / abbr. for 副詞词 adverb / classifier for pairs, sets of things & facial expressions",
富,ㄈㄨˋ,rich / abundant / wealthy,
富貴,ㄈㄨˋ ㄍㄨㄟˋ,riches and honor,
富有,ㄈㄨˋ ㄧㄡˇ,rich / full of,
婦人,ㄈㄨˋ ㄖㄣˊ,married woman,
附上,ㄈㄨˋ ㄕㄤˋ,attached / included herewith,
復甦,ㄈㄨˋ ㄙㄨ,"to recover (health, economic) / to resuscitate / anabiosis",
復原,ㄈㄨˋ ㄩㄢˊ,to restore (sth) to (its) former condition / to recover from illness / recovery,
賦予,ㄈㄨˋ ㄩˇ,to assign / to entrust (a task) / to give / to bestow,
該死,ㄍㄞ ㄙˇ,Damn it! / damned / wretched,
改編,ㄍㄞˇ ㄅㄧㄢ,to adapt / to rearrange / to revise,
改觀,ㄍㄞˇ ㄍㄨㄢ,change of appearance / to revise one's point of view,
改良,ㄍㄞˇ ㄌㄧㄤˊ,to improve (sth) / to reform (a system),
改選,ㄍㄞˇ ㄒㄩㄢˇ,reelection / to reelect,
鈣,ㄍㄞˋ,calcium (chemistry),
概,ㄍㄞˋ,general / approximate,
概括,ㄍㄞˋ ㄍㄨㄚ,to summarize / to generalize / briefly,個
概況,ㄍㄞˋ ㄎㄨㄤˋ,general situation / summary,
蓋章,ㄍㄞˋ ㄓㄤ,to affix a seal / to stamp (a document) / to sign off on sth,
尷尬,ㄍㄢ ㄍㄚˋ,awkward / embarrassed,
干擾,ㄍㄢ ㄖㄠˇ,to disturb / to interfere / perturbation / interference (physics),
干涉,ㄍㄢ ㄕㄜˋ,to interfere / to meddle / interference,
乾燥,ㄍㄢ ㄗㄠˋ,"to dry (of weather, paint, cement etc) / desiccation / dull / uninteresting / arid",
感觸,ㄍㄢˇ ㄔㄨˋ,one's thoughts and feelings / emotional stirring / moved / touched,
感性,ㄍㄢˇ ㄒㄧㄥˋ,perception / perceptual / sensibility / sensitive / emotional / sentimental,
趕忙,ㄍㄢˇ ㄇㄤˊ,to hurry / to hasten / to make haste,
綱領,ㄍㄤ ㄌㄧㄥˇ,program (i.e. plan of action) / guiding principle,
剛強,ㄍㄤ ㄑㄧㄤˊ,firm / unyielding,
鋼鐵,ㄍㄤ ㄊㄧㄝˇ,steel,
崗位,ㄍㄤˇ ㄨㄟˋ,a post / a job,
高見,ㄍㄠ ㄐㄧㄢˋ,wise opinion / brilliant idea (honorific),
高壓,ㄍㄠ ㄧㄚ,high pressure / high-handed,
告別,ㄍㄠˋ ㄅㄧㄝˊ,to leave / to bid farewell to / to say good-bye to,
告狀,ㄍㄠˋ ㄓㄨㄤˋ,"to tell on sb / to complain (to a teacher, a superior etc) / to bring a lawsuit",
胳膊,ㄍㄜ ㄅㄛˊ,arm,隻 / 條 / 雙
歌唱,ㄍㄜ ㄔㄤˋ,to sing,
歌手,ㄍㄜ ㄕㄡˇ,singer,
歌頌,ㄍㄜ ㄙㄨㄥˋ,to sing the praises of / to extol / to eulogize,
疙瘩,ㄍㄜ ㄉㄚˊ,swelling or lump on skin / pimple / knot / preoccupation / problem,
鴿子,ㄍㄜ ㄗ˙,pigeon / dove / various birds of the family Columbidae,
隔,ㄍㄜˊ,to separate / to partition / to stand or lie between / at a distance from / after or at an interval of,
隔閡,ㄍㄜˊ ㄏㄜˊ,misunderstanding / estrangement / (language etc) barrier,
隔天,ㄍㄜˊ ㄊㄧㄢ,the next day / on alternate days,
格局,ㄍㄜˊ ㄐㄩˊ,structure / pattern / layout,
格式,ㄍㄜˊ ㄕˋ,form / specification / format,
格外,ㄍㄜˊ ㄨㄞˋ,especially / particularly,
革新,ㄍㄜˊ ㄒㄧㄣ,to innovate / innovation,
各界,ㄍㄜˋ ㄐㄧㄝˋ,all walks of life / all social circles,
各自,ㄍㄜˋ ㄗˋ,each / respective / apiece,
個數,ㄍㄜˋ ㄕㄨˋ,number of items or individuals,
個體,ㄍㄜˋ ㄊㄧˇ,individual,
給予,ㄐㄧˇ ㄩˇ,to accord / to give / to show (respect),
跟進,ㄍㄣ ㄐㄧㄣˋ,to follow / to follow up,
跟前,ㄍㄣ ㄑㄧㄢˊ,"(of children, parents etc) at one's side / living with one",
根源,ㄍㄣ ㄩㄢˊ,origin / root (cause),
耕地,ㄍㄥ ㄉㄧˋ,arable land / to plow land,
更動,ㄍㄥ ㄉㄨㄥˋ,to change / to replace / to alter,
弓,ㄍㄨㄥ,a bow (weapon) / to bend / to arch (one's back etc),張
工地,ㄍㄨㄥ ㄉㄧˋ,construction site,
工讀,ㄍㄨㄥ ㄉㄨˊ,(of a student) to work part-time (while continuing one's studies) / (of a delinquent) to be reformed through work and study,
工藝品,ㄍㄨㄥ ㄧˋ ㄆㄧㄣˇ,handicraft article / handiwork,個
公安,ㄍㄨㄥ ㄢ,(Ministry of) Public Security / public safety / public security,
公費,ㄍㄨㄥ ㄈㄟˋ,at public expense,
公會,ㄍㄨㄥ ㄏㄨㄟˋ,guild,
公民,ㄍㄨㄥ ㄇㄧㄣˊ,citizen,
公認,ㄍㄨㄥ ㄖㄣˋ,publicly known (to be) / accepted (as),
公事,ㄍㄨㄥ ㄕˋ,work-related matters / documents,
公文,ㄍㄨㄥ ㄨㄣˊ,document,
公務,ㄍㄨㄥ ㄨˋ,official business,
公務員,ㄍㄨㄥ ㄨˋ ㄩㄢˊ,functionary / office-bearer,
公益,ㄍㄨㄥ ㄧˋ,public good / public welfare,
公債,ㄍㄨㄥ ㄓㄞˋ,government bond,
功勞,ㄍㄨㄥ ㄌㄠˊ,contribution / meritorious service / credit,
功利,ㄍㄨㄥ ㄌㄧˋ,utility,
攻,ㄍㄨㄥ,to attack / to accuse / to study,
攻讀,ㄍㄨㄥ ㄉㄨˊ,to major (in a field) / to study a specialty to obtain a higher degree,
攻擊,ㄍㄨㄥ ㄐㄧˊ,to attack / to accuse / to charge / an attack (terrorist or military),
供給,ㄍㄨㄥ ㄐㄧˇ,to furnish / to provide / supply (as in supply and demand),
宮殿,ㄍㄨㄥ ㄉㄧㄢˋ,palace,座
恭敬,ㄍㄨㄥ ㄐㄧㄥˋ,deferential / respectful,
恭維,ㄍㄨㄥ ㄨㄟˊ,to praise / to speak highly of / compliment / praise,
鞏固,ㄍㄨㄥˇ ㄍㄨˋ,to consolidate / consolidation / to strengthen,
共產,ㄍㄨㄥˋ ㄔㄢˇ,communist (adjective) / communism / to collectivize ownership of property,
共和國,ㄍㄨㄥˋ ㄏㄜˊ ㄍㄨㄛˊ,republic,
共鳴,ㄍㄨㄥˋ ㄇㄧㄥˊ,resonance (physics) / sympathetic response to sth,
供養,ㄍㄨㄥˋ ㄧㄤˋ,to make offerings (to the Gods),
勾結,ㄍㄡ ㄐㄧㄝˊ,to collude with / to collaborate with / to gang up with,
溝,ㄍㄡ,ditch / gutter / groove / gully / ravine,道
購,ㄍㄡˋ,to buy / to purchase,
構想,ㄍㄡˋ ㄒㄧㄤˇ,to conceive / concept,
孤獨,ㄍㄨ ㄉㄨˊ,lonely / solitary,
孤兒,ㄍㄨ ㄦˊ,orphan,
孤立,ㄍㄨ ㄌㄧˋ,isolate / isolated,
辜負,ㄍㄨ ㄈㄨˋ,to fail to live up (to expectations) / unworthy (of trust) / to let down / to betray (hopes) / to disappoint,
估價,ㄍㄨ ㄐㄧㄚˋ,to value / to appraise / to be valued at / estimate / valuation,
古怪,ㄍㄨˇ ㄍㄨㄞˋ,eccentric / grotesque / oddly / queer,
古跡,ㄍㄨˇ ㄐㄧ,places of historic interest / historical sites,個
古籍,ㄍㄨˇ ㄐㄧˊ,ancient text / antique books,
古物,ㄍㄨˇ ㄨˋ,antique,
股,ㄍㄨˇ,"thigh / part of a whole / portion of a sum / (stock) share / strand of a thread / low-level administrative unit, translated as ""section"" or ""department"" etc, ranked below 科[ke1] / classifier for long winding things like ropes, rivers etc / classifier for smoke, smells etc: thread, puff, whiff / classifier for bands of people, gangs etc / classifier for sudden forceful actions",
股市,ㄍㄨˇ ㄕˋ,stock market,
鼓吹,ㄍㄨˇ ㄔㄨㄟ,to agitate for / to enthusiastically promote,
鼓動,ㄍㄨˇ ㄉㄨㄥˋ,to agitate / to arouse / to instigate / to encite,
故,ㄍㄨˋ,"happening / instance / reason / cause / intentional / former / old / friend / therefore / hence / (of people) to die, dead",
雇,ㄍㄨˋ,to employ / to hire / to rent,
僱,ㄍㄨˋ,variant of 雇[gu4],
雇用,ㄍㄨˋ ㄩㄥˋ,to employ / to hire,
僱用,ㄍㄨˋ ㄩㄥˋ,to employ / to hire,
固然,ㄍㄨˋ ㄖㄢˊ,admittedly (it's true that...),
固體,ㄍㄨˋ ㄊㄧˇ,solid,
固有,ㄍㄨˋ ㄧㄡˇ,intrinsic to sth / inherent / native,
固執,ㄍㄨˋ ㄓˊ,obstinate / stubborn,
顧全,ㄍㄨˋ ㄑㄩㄢˊ,to give careful consideration to / to display thoughtfulness towards,
蝸牛,ㄍㄨㄚ ㄋㄧㄡˊ,snail / Taiwan pr. [gua1 niu2],
寡婦,ㄍㄨㄚˇ ㄈㄨˋ,widow,
拐,ㄍㄨㄞˇ,to turn (a corner etc) / to kidnap / to swindle / to misappropriate / walking stick / crutch / seven (used as a substitute for 七[qi1]),
怪不得,ㄍㄨㄞˋ ㄅㄨˋ ㄉㄜ˙,no wonder! / so that's why!,
官,ㄍㄨㄢ,government official / governmental / official / public / organ of the body,個
官司,ㄍㄨㄢ ㄙ,lawsuit,場
棺材,ㄍㄨㄢ ㄘㄞˊ,coffin,具 / 口
觀,ㄍㄨㄢˋ,Taoist monastery / palace gate watchtower / platform,
觀測,ㄍㄨㄢ ㄘㄜˋ,to observe / to survey / observation (scientific etc),
觀感,ㄍㄨㄢ ㄍㄢˇ,one's impressions / observations,
觀光,ㄍㄨㄢ ㄍㄨㄤ,to tour / sightseeing / tourism,
觀看,ㄍㄨㄢ ㄎㄢˋ,to watch / to view,
觀摩,ㄍㄨㄢ ㄇㄛˊ,to observe and emulate / to study (esp. following sb's example),
觀望,ㄍㄨㄢ ㄨㄤˋ,to wait and see / to watch from the sidelines / to look around / to survey,
關稅,ㄍㄨㄢ ㄕㄨㄟˋ,customs duty / tariff,
關切,ㄍㄨㄢ ㄑㄧㄝˋ,to be deeply concerned / to be troubled (by),
關懷,ㄍㄨㄢ ㄏㄨㄞˊ,care / solicitude / to show care for / concerned about / attentive to,
關頭,ㄍㄨㄢ ㄊㄡˊ,juncture / moment,
關係,ㄍㄨㄢ ㄒㄧˋ,relation / relationship / to concern / to affect / to have to do with / guanxi,個
關照,ㄍㄨㄢ ㄓㄠˋ,to take care / to keep an eye on / to look after / to tell / to remind,
管教,ㄍㄨㄢˇ ㄐㄧㄠˋ,to discipline / to teach / to guarantee,
管理,ㄍㄨㄢˇ ㄌㄧˇ,to supervise / to manage / to administer / management / administration,個
管線,ㄍㄨㄢˇ ㄒㄧㄢˋ,"pipeline / general term for pipes, cables etc",
管子,ㄍㄨㄢˇ ㄗ˙,tube / pipe / drinking straw,根
貫徹,ㄍㄨㄢˋ ㄔㄜˋ,to implement / to put into practice / to carry out,
慣,ㄍㄨㄢˋ,accustomed to / used to / indulge / to spoil (a child),
灌,ㄍㄨㄢˋ,to irrigate / to pour / to install (software) / to record (music),
灌溉,ㄍㄨㄢˋ ㄍㄞˋ,to irrigate,
灌輸,ㄍㄨㄢˋ ㄕㄨ,to imbue with / to inculcate / to instill into / to teach / to impart / to channel water to another place,
光顧,ㄍㄨㄤ ㄍㄨˋ,to visit (as a customer),
光滑,ㄍㄨㄤ ㄏㄨㄚˊ,glossy / sleek / smooth,
光輝,ㄍㄨㄤ ㄏㄨㄟ,radiance / glory / brilliant / magnificent,
光芒,ㄍㄨㄤ ㄇㄤˊ,rays of light / brilliant rays / radiance,
規範,ㄍㄨㄟ ㄈㄢˋ,norm / standard / specification / regulation / rule / within the rules / to fix rules / to regulate / to specify,
規格,ㄍㄨㄟ ㄍㄜˊ,standard / norm / specification,
規矩,ㄍㄨㄟ ㄐㄩˇ,lit. compass and set square / fig. established standard / rule / customs / practices / fig. upright and honest / well-behaved,
規則,ㄍㄨㄟ ㄗㄜˊ,rule / regulation / rules and regulations,
歸,ㄍㄨㄟ,to return / to go back to / to give back to / (of a responsibility) to be taken care of by / to belong to / to gather together / (used between two identical verbs) despite / to marry (of a woman) (old) / division on the abacus with a one-digit divisor,
歸,ㄍㄨㄟ,to return / to go back to / to give back to / (of a responsibility) to be taken care of by / to belong to / to gather together / (used between two identical verbs) despite / to marry (of a woman) (old) / division on the abacus with a one-digit divisor,
歸還,ㄍㄨㄟ ㄏㄨㄢˊ,to return sth / to revert,
歸納,ㄍㄨㄟ ㄋㄚˋ,to sum up / to summarize / to conclude from facts / induction (method of deduction in logic),
軌道,ㄍㄨㄟˇ ㄉㄠˋ,orbit / railway or tram line / fig. conventional way of thinking,
鬼怪,ㄍㄨㄟˇ ㄍㄨㄞˋ,hobgoblin / bogey / phantom,
貴,ㄍㄨㄟˋ,expensive / noble / precious / (honorific) your,
貴賓,ㄍㄨㄟˋ ㄅㄧㄣ,honored guest / distinguished guest / VIP,
棍子,ㄍㄨㄣˋ ㄗ˙,stick / rod,
國產,ㄍㄨㄛˊ ㄔㄢˇ,domestically produced,
國防,ㄍㄨㄛˊ ㄈㄤˊ,national defense,
國境,ㄍㄨㄛˊ ㄐㄧㄥˋ,national border / frontier,
國君,ㄍㄨㄛˊ ㄐㄩㄣ,monarch,
國民,ㄍㄨㄛˊ ㄇㄧㄣˊ,nationals / citizens / people of a nation,
國營,ㄍㄨㄛˊ ㄧㄥˊ,state-run (company etc) / nationalized,
果斷,ㄍㄨㄛˇ ㄉㄨㄢˋ,firm / decisive,
果實,ㄍㄨㄛˇ ㄕˊ,fruit (produced by a plant) / (fig.) fruits (of success etc) / results / gains,
果樹,ㄍㄨㄛˇ ㄕㄨˋ,fruit tree,棵
果真,ㄍㄨㄛˇ ㄓㄣ,really / as expected / sure enough / if indeed... / if it's really...,
過關,ㄍㄨㄛˋ ㄍㄨㄢ,to cross a barrier / to get through (an ordeal) / to pass (a test) / to reach (a standard),
過量,ㄍㄨㄛˋ ㄌㄧㄤˋ,excess / overdose,
過敏,ㄍㄨㄛˋ ㄇㄧㄣˇ,oversensitive / allergic / allergy,
過目,ㄍㄨㄛˋ ㄇㄨˋ,to look over,
過人,ㄍㄨㄛˋ ㄖㄣˊ,"to surpass others / outstanding / (basketball, soccer etc) to get past an opponent",
過失,ㄍㄨㄛˋ ㄕ,error / fault / (law) negligence / delinquency,
過癮,ㄍㄨㄛˋ ㄧㄣˇ,to satisfy a craving / to get a kick out of sth / gratifying / immensely enjoyable / satisfying / fulfilling,
過重,ㄍㄨㄛˋ ㄓㄨㄥˋ,overweight (luggage),
海拔,ㄏㄞˇ ㄅㄚˊ,height above sea level / elevation,
海面,ㄏㄞˇ ㄇㄧㄢˋ,sea level / sea surface,
海嘯,ㄏㄞˇ ㄒㄧㄠˋ,tsunami,
海運,ㄏㄞˇ ㄩㄣˋ,shipping by sea,
害蟲,ㄏㄞˋ ㄔㄨㄥˊ,injurious insect / pest,
喊,ㄏㄢˇ,to yell / to shout / to call out for (a person),
行號,ㄏㄤˊ ㄏㄠˋ,(registered) company,
行列,ㄏㄤˊ ㄌㄧㄝˋ,ranks / procession,
航空信,ㄏㄤˊ ㄎㄨㄥ ㄒㄧㄣˋ,airmail letter,
航行,ㄏㄤˊ ㄒㄧㄥˊ,to sail / to fly / to navigate,
毫不,ㄏㄠˊ ㄅㄨˋ,hardly / not in the least / not at all,
好比,ㄏㄠˇ ㄅㄧˇ,to be just like / can be compared to,
好手,ㄏㄠˇ ㄕㄡˇ,expert / professional,
好受,ㄏㄠˇ ㄕㄡˋ,feeling better / to be more at ease,
號,ㄏㄠˋ,ordinal number / day of a month / mark / sign / business establishment / size / ship suffix / horn (wind instrument) / bugle call / assumed name / to take a pulse / classifier used to indicate number of people,
號子,ㄏㄠˋ ㄗ˙,work chant / prison cell / type / sort / mark / sign / signal / (Tw) brokerage firm,
證券行,ㄓㄥˋ ㄑㄩㄢˋ ㄏㄤˊ,security industry (financial),
合併,ㄏㄜˊ ㄅㄧㄥˋ,to merge / to annex,
合同,ㄏㄜˊ ㄊㄨㄥˊ,(business) contract,個
合意,ㄏㄜˊ ㄧˋ,to suit one's taste / suitable / congenial / by mutual agreement,
合約,ㄏㄜˊ ㄩㄝ,treaty / contract,
何,ㄏㄜˊ,what / how / why / which / carry,
何在,ㄏㄜˊ ㄗㄞˋ,where? / what place?,
和解,ㄏㄜˊ ㄐㄧㄝˇ,to settle (a dispute out of court) / to reconcile / settlement / conciliation / to become reconciled,
和睦,ㄏㄜˊ ㄇㄨˋ,peaceful relations / harmonious,
和諧,ㄏㄜˊ ㄒㄧㄝˊ,harmonious / harmony / (euphemism) to censor,
核定,ㄏㄜˊ ㄉㄧㄥˋ,to audit and determine / to check and ratify / to appraise and decide / determination / on a deemed basis (taxation) / to deem,
核對,ㄏㄜˊ ㄉㄨㄟˋ,to check / to verify / to audit / to examine,
核算,ㄏㄜˊ ㄙㄨㄢˋ,to calculate / accounting,
核准,ㄏㄜˊ ㄓㄨㄣˇ,to authorize / to investigate then ratify,
核子,ㄏㄜˊ ㄗˇ,nuclear / nucleus,
黑名單,ㄏㄟ ㄇㄧㄥˊ ㄉㄢ,blacklist,
黑社會,ㄏㄟ ㄕㄜˋ ㄏㄨㄟˋ,criminal underworld / organized crime syndicate,
狠,ㄏㄣˇ,ruthless / fierce / ferocious / determined / to harden (one's heart) / old variant of 很[hen3],
狠心,ㄏㄣˇ ㄒㄧㄣ,callous / heartless,
哼,ㄏㄥ,to groan / to snort / to hum / to croon / humph!,
哼,ㄏㄥ,to groan / to snort / to hum / to croon / humph!,
橫,ㄏㄥˊ,harsh and unreasonable / unexpected,
衡量,ㄏㄥˊ ㄌㄧㄤˊ,to weigh / to examine / to consider,
轟動,ㄏㄨㄥ ㄉㄨㄥˋ,to cause a sensation / to create a stir in (a place) / commotion / controversy,
轟轟烈烈,ㄏㄨㄥ ㄏㄨㄥ ㄌㄧㄝˋ ㄌㄧㄝˋ,strong / vigorous / large-scale,
紅利,ㄏㄨㄥˊ ㄌㄧˋ,bonus / dividend,
紅燒,ㄏㄨㄥˊ ㄕㄠ,simmer-fried (dish),
洪水,ㄏㄨㄥˊ ㄕㄨㄟˇ,deluge / flood,
宏偉,ㄏㄨㄥˊ ㄨㄟˇ,grand / imposing / magnificent,
哄,ㄏㄨㄥˇ,to deceive / to coax / to amuse (a child),
後輩,ㄏㄡˋ ㄅㄟˋ,younger generation,
後天,ㄏㄡˋ ㄊㄧㄢ,the day after tomorrow / acquired (not innate) / a posteriori,
候選人,ㄏㄡˋ ㄒㄩㄢˇ ㄖㄣˊ,candidate,名
呼籲,ㄏㄨ ㄩˋ,to call on (sb to do sth) / to appeal (to) / an appeal,
壺,ㄏㄨˊ,pot / classifier for bottled liquid,
胡亂,ㄏㄨˊ ㄌㄨㄢˋ,careless / reckless / casually / absent-mindedly / at will / at random / any old how,
狐疑,ㄏㄨˊ ㄧˊ,suspicious / in doubt,
戶口,ㄏㄨˋ ㄎㄡˇ,population (counted as number of households for census or taxation) / registered residence / residence permit / (in Hong Kong and Macau) bank account,
互補,ㄏㄨˋ ㄅㄨˇ,complementary / to complement each other,
互動,ㄏㄨˋ ㄉㄨㄥˋ,to interact / interactive,
互惠,ㄏㄨˋ ㄏㄨㄟˋ,mutual benefit / mutually beneficial / reciprocal,
護,ㄏㄨˋ,to protect,
花瓣,ㄏㄨㄚ ㄅㄢˋ,petal,片
花朵,ㄏㄨㄚ ㄉㄨㄛˇ,flower,
花卉,ㄏㄨㄚ ㄏㄨㄟˋ,flowers and plants,
花紋,ㄏㄨㄚ ㄨㄣˊ,decorative design,
花樣,ㄏㄨㄚ ㄧㄤˋ,pattern / way of doing sth / trick / (sports) fancy-style (as figure skating etc),
划不來,ㄏㄨㄚˊ ㄅㄨˋ ㄌㄞˊ,not worth it,
划得來,ㄏㄨㄚˊ ㄉㄜ˙ ㄌㄞˊ,worth it / it pays to,
華裔,ㄏㄨㄚˊ ㄧˋ,ethnic Chinese / non-Chinese citizen of Chinese ancestry,
化工,ㄏㄨㄚˋ ㄍㄨㄥ,"chemical industry, abbr. of 化學工業学工业[hua4 xue2 gong1 ye4] / chemical engineering, abbr. of 化學工程学工程[hua4 xue2 gong1 cheng2]",
化石,ㄏㄨㄚˋ ㄕˊ,fossil,
話劇,ㄏㄨㄚˋ ㄐㄩˋ,stage play / modern drama,臺 / 部
畫面,ㄏㄨㄚˋ ㄇㄧㄢˋ,scene / tableau / picture / image / screen (displayed by a computer) / (motion picture) frame / field of view,
畫展,ㄏㄨㄚˋ ㄓㄢˇ,art exhibition,
劃時代,ㄏㄨㄚˋ ㄕˊ ㄉㄞˋ,epoch-marking,
懷,ㄏㄨㄞˊ,bosom / heart / mind / to think of / to harbor in one's mind / to conceive (a child),
懷疑,ㄏㄨㄞˊ ㄧˊ,to doubt (sth) / to be skeptical of / to have one's doubts / to harbor suspicions / to suspect that,
歡送,ㄏㄨㄢ ㄙㄨㄥˋ,to see off / to send off,
幻象,ㄏㄨㄢˋ ㄒㄧㄤˋ,illusion,
換取,ㄏㄨㄢˋ ㄑㄩˇ,to obtain (sth) in exchange / to exchange (sth) for (sth else),
患,ㄏㄨㄢˋ,to suffer (from illness) / to contract (a disease) / misfortune / trouble / danger / worry,
患者,ㄏㄨㄢˋ ㄓㄜˇ,patient / sufferer,
荒唐,ㄏㄨㄤ ㄊㄤˊ,beyond belief / preposterous / absurd / intemperate / dissipated,
慌張,ㄏㄨㄤ ㄓㄤ,confused / flustered,
惶恐,ㄏㄨㄤˊ ㄎㄨㄥˇ,terrified,
恍惚,ㄏㄨㄤˇ ㄏㄨ,absent-minded / distracted / dazzled / vaguely / dimly,
灰,ㄏㄨㄟ,ash / dust / lime / gray / discouraged / dejected,
灰塵,ㄏㄨㄟ ㄔㄣˊ,dust,
輝煌,ㄏㄨㄟ ㄏㄨㄤˊ,splendid / glorious,
回合,ㄏㄨㄟˊ ㄏㄜˊ,"one of a sequence of contests (or subdivisions of a contest) between the same two opponents / round (boxing etc) / rally (tennis etc) / frame (billiards etc) / inning / (tennis, soccer etc) rubber or leg / round (of negotiations)",
回絕,ㄏㄨㄟˊ ㄐㄩㄝˊ,to rebuff / to refuse / to turn down,
回升,ㄏㄨㄟˊ ㄕㄥ,to rise again after a fall / to pick up / rally (stock market etc),
回憶,ㄏㄨㄟˊ ㄧˋ,to recall / memories,個
迴響,ㄏㄨㄟˊ ㄒㄧㄤˇ,to echo / to reverberate / to respond / echo / response / reaction,
回響,ㄏㄨㄟˊ ㄒㄧㄤˇ,variant of 迴響响[hui2 xiang3],
毀,ㄏㄨㄟˇ,to destroy / to damage / to ruin / to defame / to slander,
毀損,ㄏㄨㄟˇ ㄙㄨㄣˇ,"impair, damage",
悔恨,ㄏㄨㄟˇ ㄏㄣˋ,remorse / repentance,
匯,ㄏㄨㄟˋ,to remit / to converge (of rivers) / to exchange,
匯票,ㄏㄨㄟˋ ㄆㄧㄠˋ,bill of exchange / bank draft,
會見,ㄏㄨㄟˋ ㄐㄧㄢˋ,to meet with (sb who is paying a visit),次
會談,ㄏㄨㄟˋ ㄊㄢˊ,talks / discussions,次
會意,ㄏㄨㄟˋ ㄧˋ,"combined ideogram (one of the Six Methods 六書书[liu4 shu1] of forming Chinese characters) / Chinese character that combines the meanings of existing elements / also known as joint ideogram or associative compounds / to comprehend without being told explicitly / to cotton on / knowing (smile, glance etc)",
繪畫,ㄏㄨㄟˋ ㄏㄨㄚˋ,drawing / painting,
賄賂,ㄏㄨㄟˋ ㄌㄨˋ,to bribe / a bribe,
彗星,ㄏㄨㄟˋ ㄒㄧㄥ,comet,
昏,ㄏㄨㄣ,muddle-headed / twilight / to faint / to lose consciousness,
渾身,ㄏㄨㄣˊ ㄕㄣ,all over / from head to foot,
混,ㄏㄨㄣˋ,to mix / to mingle / muddled / to drift along / to muddle along / to pass for / to get along with sb / thoughtless / reckless,
混淆,ㄏㄨㄣˋ ㄧㄠˊ,to obscure / to confuse / to mix up / to blur / to mislead,
混濁,ㄏㄨㄣˋ ㄓㄨㄛˊ,turbid / muddy / dirty,
活,ㄏㄨㄛˊ,to live / alive / living / work / workmanship,
活兒,ㄏㄨㄛˊ ㄦ,work / (lots of) things to do,
活期,ㄏㄨㄛˊ ㄑㄧˊ,(banking) current (account) / checking (account) / demand (deposit etc),
火箭,ㄏㄨㄛˇ ㄐㄧㄢˋ,rocket,枚
火力,ㄏㄨㄛˇ ㄌㄧˋ,fire / firepower,
火焰,ㄏㄨㄛˇ ㄧㄢˋ,blaze / flame,
火藥,ㄏㄨㄛˇ ㄧㄠˋ,gunpowder,
伙伴,ㄏㄨㄛˇ ㄅㄢˋ,partner / companion / comrade,
獲,ㄏㄨㄛˋ,to catch / to obtain / to capture,
貨幣,ㄏㄨㄛˋ ㄅㄧˋ,currency / monetary / money,
貨品,ㄏㄨㄛˋ ㄆㄧㄣˇ,goods,
豁達,ㄏㄨㄛˋ ㄉㄚˊ,optimistic / sanguine / generous / magnanimous / open-minded,
積,ㄐㄧ,to amass / to accumulate / to store / measured quantity (such as area of volume) / product (the result of multiplication) / to integrate (math.) / to solve (or integrate) an ordinary differential equation (math.) / old / long-standing,
基層,ㄐㄧ ㄘㄥˊ,basic level / grassroots unit / basement layer,
基地,ㄐㄧ ㄉㄧˋ,base (of operations) / industrial or military base / al-Qaeda,
基督,ㄐㄧ ㄉㄨ,Christ,
基因,ㄐㄧ ㄧㄣ,gene (loanword),
機動,ㄐㄧ ㄉㄨㄥˋ,"locomotive / motorized / power-driven / adaptable / flexible (use, treatment, timing etc)",
機警,ㄐㄧ ㄐㄧㄥˇ,perceptive / astute / sharp / sharp-witted / vigilant / alert,
機率,ㄐㄧ ㄌㄩˋ,probability / odds (Tw),
機密,ㄐㄧ ㄇㄧˋ,secret / classified (information),
機器人,ㄐㄧ ㄑㄧˋ ㄖㄣˊ,mechanical person / robot / android,
機制,ㄐㄧ ㄓˋ,mechanism,
肌膚,ㄐㄧ ㄈㄨ,skin / flesh / fig. close physical relationship,
飢餓,ㄐㄧ ㄜˋ,hunger / starvation / famine,
畸形,ㄐㄧ ㄒㄧㄥˊ,deformity / abnormality,
激增,ㄐㄧ ㄗㄥ,to increase rapidly / to shoot up,
及早,ㄐㄧˊ ㄗㄠˇ,at the earliest possible time / as soon as possible,
吉利,ㄐㄧˊ ㄌㄧˋ,auspicious / lucky / propitious,
吉祥,ㄐㄧˊ ㄒㄧㄤˊ,lucky / auspicious / propitious,
汲取,ㄐㄧˊ ㄑㄩˇ,to draw / to derive / to absorb,
即,ㄐㄧˊ,namely / that is / i.e. / prompt / at once / at present / even if / prompted (by the occasion) / to approach / to come into contact / to assume (office) / to draw near,
即,ㄐㄧˊ,namely / that is / i.e. / prompt / at once / at present / even if / prompted (by the occasion) / to approach / to come into contact / to assume (office) / to draw near,
即日,ㄐㄧˊ ㄖˋ,this or that very day / in the next few days,
即時,ㄐㄧˊ ㄕˊ,immediate,
