詞彙,注音,英譯,量詞
敝,ㄅㄧˋ,my (polite) / poor / ruined / shabby / worn out / defeated,
必,ㄅㄧˋ,certainly / must / will / necessarily,
編輯,ㄅㄧㄢ ㄐㄧˊ,to edit / to compile / editor / compiler,
編輯,ㄅㄧㄢ ㄐㄧˊ,to edit / to compile / editor / compiler,
編寫,ㄅㄧㄢ ㄒㄧㄝˇ,to compile,
編織,ㄅㄧㄢ ㄓ,"to weave / to knit / to plait / to braid / (fig.) to create (sth abstract, e.g. a dream, a lie etc)",
編制,ㄅㄧㄢ ㄓˋ,to establish (a unit or department) / staffing structure (excluding temporary and casual staff),
編製,ㄅㄧㄢ ㄓˋ,"to weave / to plait / to compile / to put together (a lesson plan, budget etc)",
邊界,ㄅㄧㄢ ㄐㄧㄝˋ,boundary / border,
邊緣,ㄅㄧㄢ ㄩㄢˊ,edge / fringe / verge / brink / periphery / marginal / borderline,
貶,ㄅㄧㄢˇ,to diminish / to demote / to reduce or devaluate / to disparage / to censure / to depreciate,
貶值,ㄅㄧㄢˇ ㄓˊ,to become devaluated / to devaluate / to depreciate,
匾額,ㄅㄧㄢˇ ㄜˊ,a horizontal inscribed board,
便,ㄅㄧㄢˋ,see 便宜宜[pian2 yi5],
辨認,ㄅㄧㄢˋ ㄖㄣˋ,to recognize / to identify,
辨識,ㄅㄧㄢˋ ㄕˋ,identification / to identify / to recognize,
辯,ㄅㄧㄢˋ,to dispute / to debate / to argue / to discuss,
辯護,ㄅㄧㄢˋ ㄏㄨˋ,to speak in defense of / to argue in favor of / to defend / to plead,
辯論,ㄅㄧㄢˋ ㄌㄨㄣˋ,debate / argument / to argue over,場 / 次
變革,ㄅㄧㄢˋ ㄍㄜˊ,to transform / to change,
變遷,ㄅㄧㄢˋ ㄑㄧㄢ,changes / vicissitudes,
變通,ㄅㄧㄢˋ ㄊㄨㄥ,pragmatic / flexible / to act differently in different situations / to accommodate to circumstances,
變形,ㄅㄧㄢˋ ㄒㄧㄥˊ,deformation / to become deformed / to change shape / to morph,
標籤,ㄅㄧㄠ ㄑㄧㄢ,label / tag / tab (of a window) (computing),
標語,ㄅㄧㄠ ㄩˇ,written slogan / placard,幅 / 張 / 條
表白,ㄅㄧㄠˇ ㄅㄞˊ,to explain oneself / to express / to reveal one's thoughts or feelings / declaration / confession,
表明,ㄅㄧㄠˇ ㄇㄧㄥˊ,to make clear / to make known / to state clearly / to indicate / known,
