詞彙,注音,英譯,量詞
吃,ㄔ,to eat / to consume / to eat at (a cafeteria etc) / to eradicate / to destroy / to absorb / to suffer / to stammer (Taiwan pr. for this sense is [ji2]),
請,ㄑㄧㄥˇ,to ask / to invite / please (do sth) / to treat (to a meal etc) / to request,
也,ㄧㄝˇ,also / too / (in Classical Chinese) final particle implying affirmation,
不,ㄅㄨˋ,(negative prefix) / not / no,
沒,ㄇㄟˊ,drowned / to end / to die / to inundate,
都,ㄉㄡ,capital city / metropolis,
只,ㄓˇ,only / merely / just / but,
可是,ㄎㄜˇ ㄕˋ,but / however / (used for emphasis) indeed,
還是,ㄏㄞˊ ㄕˋ,or / still / nevertheless / had better,
了,ㄌㄜ˙,to finish / to achieve / variant of 瞭[liao3] / to understand clearly,
得,ㄉㄜ˙,to have to / must / ought to / to need to,
過,ㄍㄨㄛˋ,(experienced action marker),
