詞彙,注音,英譯,量詞
我,ㄨㄛˇ,I / me / my,
你,ㄋㄧˇ,"you (informal, as opposed to courteous 您[nin2])",
妳,ㄋㄧˇ,you (female) / variant of 你[ni3],
他,ㄊㄚ,he or him / (used for either sex when the sex is unknown or unimportant) / (used before sb's name for emphasis) / (used as a meaningless mock object) / other / another,
她,ㄊㄚ,she,
我們,ㄨㄛˇ ㄇㄣ˙,we / us / ourselves / our,
你們,ㄋㄧˇ ㄇㄣ˙,you (plural),
妳們,ㄋㄧˇ ㄇㄣ˙,you (plural) (female),
他們,ㄊㄚ ㄇㄣ˙,they,
她們,ㄊㄚ ㄇㄣ˙,they / them (for females),
您,ㄋㄧㄣˊ,"you (courteous, as opposed to informal 你[ni3])",
誰,ㄕㄟˊ,who / also pr. [shui2],
人,ㄖㄣˊ,man / person / people,個 / 位
中國,ㄓㄨㄥ ㄍㄨㄛˊ,China,
美國,ㄇㄟˇ ㄍㄨㄛˊ,United States / USA / US,
日本,ㄖˋ ㄅㄣˇ,Japan,
台灣,ㄊㄞˊ ㄨㄢ,variant of 臺灣湾[Tai2 wan1],
名字,ㄇㄧㄥˊ ㄗ˙,name (of a person or thing),個
家,ㄐㄧㄚ,"home / family / (polite) my (sister, uncle etc) / classifier for families or businesses / refers to the philosophical schools of pre-Han China / noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian",個
電話,ㄉㄧㄢˋ ㄏㄨㄚˋ,telephone / phone call / phone number,部 / 通
現在,ㄒㄧㄢˋ ㄗㄞˋ,now / at present / at the moment / modern / current / nowadays,
今年,ㄐㄧㄣ ㄋㄧㄢˊ,this year,
今天,ㄐㄧㄣ ㄊㄧㄢ,today / at the present / now,
明天,ㄇㄧㄥˊ ㄊㄧㄢ,tomorrow,
昨天,ㄗㄨㄛˊ ㄊㄧㄢ,yesterday,
早上,ㄗㄠˇ ㄕㄤˋ,early morning,個
上午,ㄕㄤˋ ㄨˇ,morning,個
中午,ㄓㄨㄥ ㄨˇ,noon / midday,個
下午,ㄒㄧㄚˋ ㄨˇ,afternoon / p.m.,個
晚上,ㄨㄢˇ ㄕㄤˋ,evening / night / in the evening,個
一,ㄧ,"one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / ""one"" radical in Chinese characters (Kangxi radical 1) / also pr. [yao1] for greater clarity when spelling out numbers digit by digit",
二,ㄦˋ,two / 2 / (Beijing dialect) stupid,
三,ㄙㄢ,three / 3,
四,ㄙˋ,four / 4,
五,ㄨˇ,five / 5,
六,ㄌㄧㄡˋ,six / 6,
七,ㄑㄧ,seven / 7,
八,ㄅㄚ,eight / 8,
九,ㄐㄧㄡˇ,nine / 9,
十,ㄕˊ,ten / 10,
零,ㄌㄧㄥˊ,zero / nought / zero sign / fractional / fragmentary / odd (of numbers) / (placed between two numbers to indicate a smaller quantity followed by a larger one) / fraction / (in mathematics) remainder (after division) / extra / to wither and fall / to wither,
兩,ㄌㄧㄤˇ,"two / both / some / a few / tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)",
時候,ㄕˊ ㄏㄡˋ,time / length of time / moment / period,
百,ㄅㄞˇ,hundred / numerous / all kinds of,
半,ㄅㄢˋ,half / semi- / incomplete / (after a number) and a half,
爸爸,ㄅㄚˋ ㄅㄚ˙,(informal) father,個 / 位
媽媽,ㄇㄚ ㄇㄚ˙,mama / mommy / mother,個 / 位
哥哥,ㄍㄜ ㄍㄜ˙,older brother,個 / 位
弟弟,ㄉㄧˋ ㄉㄧ˙,younger brother,個 / 位
姊姊,ㄐㄧㄝˇ ㄐㄧㄝ˙,older sister / Taiwan pr. [jie3 jie5],
姐姐,ㄐㄧㄝˇ ㄐㄧㄝ˙,older sister,個
妹妹,ㄇㄟˋ ㄇㄟ˙,younger sister / young woman,個
的,ㄉㄜ˙,aim / clear,
第,ㄉㄧˋ,"(prefix indicating ordinal number, e.g. first, number two etc) / order / (old) rank in the imperial examinations / mansion / (literary) but / just",
分,ㄈㄣ,part / share / ingredient / component,
點,ㄉㄧㄢˇ,point / dot / drop / speck / o'clock / point (in space or time) / to draw a dot / to check on a list / to choose / to order (food in a restaurant) / to touch briefly / to hint / to light / to ignite / to pour a liquid drop by drop / (old) one fifth of a two-hour watch 更[geng1] / dot stroke in Chinese characters / classifier for items,
個,ㄍㄜ˙,individual / this / that / size / classifier for people or objects in general,
歲,ㄙㄨㄟˋ,classifier for years (of age) / year / year (of crop harvests),
年,ㄋㄧㄢˊ,year,個
住,ㄓㄨˋ,"to live / to dwell / to stay / to reside / to stop / (suffix indicating firmness, steadiness, or coming to a halt)",
來,ㄌㄞˊ,to come / to arrive / to come round / ever since / next,
是,ㄕˋ,is / are / am / yes / to be,
姓,ㄒㄧㄥˋ,family name / surname / to be surnamed,個
覺得,ㄐㄩㄝˊ ㄉㄜ˙,to think / to feel,
喜歡,ㄒㄧˇ ㄏㄨㄢ,to like / to be fond of,
打電話,ㄉㄚˇ ㄉㄧㄢˋ ㄏㄨㄚˋ,to make a telephone call,
高興,ㄍㄠ ㄒㄧㄥˋ,happy / glad / willing (to do sth) / in a cheerful mood,
漂亮,ㄆㄧㄠˋ ㄌㄧㄤˋ,pretty / beautiful,
高,ㄍㄠ,high / tall / above average / loud / your (honorific),
好,ㄏㄠˇ,to be fond of / to have a tendency to / to be prone to,
很,ㄏㄣˇ,(adverb of degree) / quite / very / awfully,
真,ㄓㄣ,really / truly / indeed / real / true / genuine,
電腦,ㄉㄧㄢˋ ㄋㄠˇ,computer,臺
老師,ㄌㄠˇ ㄕ,teacher,個 / 位
買,ㄇㄞˇ,to buy / to purchase,
忙,ㄇㄤˊ,busy / hurriedly / to hurry / to rush,
學生,ㄒㄩㄝˊ ㄕㄥ,student / schoolchild,
大學,ㄉㄚˋㄒㄩㄝˊ,university / college,所
學校,ㄒㄩㄝˊ ㄒㄧㄠˋ,school,所
字,ㄗˋ,letter / symbol / character / word / courtesy or style name traditionally given to males aged 20 in dynastic China,個
筆,ㄅㄧˇ,"pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals",支 / 枝
學,ㄒㄩㄝˊ,to learn / to study / to imitate / science / -ology,
問,ㄨㄣˋ,to ask,
說,ㄕㄨㄛ,"to speak / to say / to explain / to scold / to tell off / a theory (typically the last character in a compound, as in 日心說心说 heliocentric theory)",
寫,ㄒㄧㄝˇ,to write,
聽,ㄊㄧㄥ,"(literary pronunciation, still advocated in Taiwan) to rule / to sentence / to allow",
練習,ㄌㄧㄢˋ ㄒㄧˊ,to practice / exercise / drill / practice,個
能,ㄋㄥˊ,can / to be able to / might possibly / ability / (physics) energy,
可以,ㄎㄜˇ ㄧˇ,can / may / possible / able to / not bad / pretty good,
上課,ㄕㄤˋ ㄎㄜˋ,to go to class / to attend class / to go to teach a class,
知道,ㄓ ㄉㄠˋ,to know / to become aware of / also pr. [zhi1 dao5],
電視機,ㄉㄧㄢˋ ㄕˋ,television set,臺
電視機,ㄉㄧㄢˋ ㄕˋ ㄐㄧ,television set,臺
水,ㄕㄨㄟˇ,water / river / liquid / beverage / additional charges or income / (of clothes) classifier for number of washes,
再,ㄗㄞˋ,"again / once more / re- / second / another / then (after sth, and not until then) / no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)",
書,ㄕㄨ,book / letter / document / to write,本 / 冊 / 部
電影,ㄉㄧㄢˋ ㄧㄥˇ,movie / film,部 / 片 / 幕 / 場
以前,ㄧˇ ㄑㄧㄢˊ,before / formerly / previous / ago,
以後,ㄧˇ ㄏㄡˋ,after / later / afterwards / following / later on / in the future,
走,ㄗㄡˇ,"to walk / to go / to run / to move (of vehicle) / to visit / to leave / to go away / to die (euph.) / from / through / away (in compound verbs, such as 撤走[che4 zou3]) / to change (shape, form, meaning)",
等,ㄉㄥˇ,class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once,
看,ㄎㄢˋ,to see / to look at / to read / to watch / to visit / to call on / to consider / to regard as / to look after / to treat (an illness) / to depend on / to feel (that) / (after verb) to give it a try / Watch out! (for a danger),
什麼,ㄕㄣˊ ㄇㄜ˙,what? / something / anything,
朋友,ㄆㄥˊ ㄧㄡˇ,friend,個 / 位
東西,ㄉㄨㄥ ㄒㄧ˙,thing / stuff / person,個 / 件
吧,ㄅㄚ˙,(onom.) smack!,
呢,ㄋㄜ˙,woolen material,
嗎,ㄇㄚ˙,"(question particle for ""yes-no"" questions)",
找,ㄓㄠˇ,to try to find / to look for / to call on sb / to find / to seek / to return / to give change,
做,ㄗㄨㄛˋ,to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance,
再見,ㄗㄞˋ ㄐㄧㄢˋ,goodbye / see you again later,
怎麼樣,ㄗㄣˇ ㄇㄜ˙ ㄧㄤˋ,how? / how about? / how was it? / how are things?,
叫,ㄐㄧㄠˋ,to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood),
謝謝,ㄒㄧㄝˋ ㄒㄧㄝ˙,to thank / thanks / thank you,
對不起,ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ,unworthy / to let down / I'm sorry / excuse me / pardon me / if you please / sorry? (please repeat),
請問,ㄑㄧㄥˇ ㄨㄣˋ,"Excuse me, may I ask...?",
這,ㄓㄜˋ,"this / these / (commonly pr. [zhei4] before a classifier, esp. in Beijing)",
那,ㄋㄚˋ,(archaic) many / beautiful / how / old variant of 挪[nuo2],
公共汽車,ㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜ,bus,輛 / 班
公車,ㄍㄨㄥ ㄔㄜ,"bus / abbr. for 公共汽車共汽车[gong1 gong4 qi4 che1] / car belonging to an organization and used by its members (government car, police car, company car etc) / abbr. for 公務用車务用车[gong1 wu4 yong4 che1]",
車,ㄔㄜ,war chariot (archaic) / rook (in Chinese chess) / rook (in chess),
車子,ㄔㄜ ㄗ˙,"car or other vehicle (bicycle, truck etc)",
到,ㄉㄠˋ,to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action),
去,ㄑㄩˋ,to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation),
回,ㄏㄨㄟˊ,to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book),
坐,ㄗㄨㄛˋ,"to sit / to take a seat / to take (a bus, airplane etc) / to bear fruit / variant of 座[zuo4]",
開車,ㄎㄞ ㄔㄜ,to drive a car,
錢,ㄑㄧㄢˊ,"coin / money / unit of weight, one tenth of a tael 兩[liang3]",筆
多少,ㄉㄨㄛ ㄕㄠˇ,"how much? / how many? / (phone number, student ID etc) what number?",
給,ㄍㄟˇ,to supply / to provide,
給,ㄍㄟˇ,to supply / to provide,
貴,ㄍㄨㄟˋ,expensive / noble / precious / (honorific) your,
便宜,ㄆㄧㄢˊ ㄧˊ,cheap / inexpensive / small advantages / to let sb off lightly,
大,ㄉㄚˋ,see 大夫[dai4 fu5],
小,ㄒㄧㄠˇ,small / tiny / few / young,
難,ㄋㄢˊ,disaster / distress / to scold,
容易,ㄖㄨㄥˊ ㄧˋ,easy / likely / liable (to),
有,ㄧㄡˇ,to have / there is / there are / to exist / to be,
想,ㄒㄧㄤˇ,to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth),
幾,ㄐㄧˇ,how much / how many / several / a few,
塊,ㄎㄨㄞˋ,"lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units",
飯,ㄈㄢˋ,cooked rice / meal / (loanword) fan / devotee,碗 / 頓
