詞彙,注音,英譯,量詞
風,ㄈㄥ,wind / news / style / custom / manner,陣 / 絲
海,ㄏㄞˇ,ocean / sea / great number of people or things / (dialect) numerous,個 / 片
魚,ㄩˊ,fish,條 / 尾
樹,ㄕㄨˋ,tree / to cultivate / to set up,棵
開,ㄎㄞ,"to open / to start / to turn on / to boil / to write out (a prescription, check, invoice etc) / to operate (a vehicle) / carat (gold) / abbr. for Kelvin, 開爾文尔文[Kai1 er3 wen2] / abbr. for 開本本[kai1 ben3], book format",
冷,ㄌㄥˇ,cold,
熱,ㄖㄜˋ,to warm up / to heat up / hot (of weather) / heat / fervent,
洗澡,ㄒㄧˇ ㄗㄠˇ,to bathe / to take a shower,
咖啡,ㄎㄚ ㄈㄟ,coffee (loanword),杯
茶,ㄔㄚˊ,tea / tea plant,杯 / 壺
生活,ㄕㄥ ㄏㄨㄛˊ,life / activity / to live / livelihood,
用,ㄩㄥˋ,to use / to employ / to have to / to eat or drink / expense or outlay / usefulness / hence / therefore,
洗,ㄒㄧˇ,to wash / to bathe / to develop (photo),
穿,ㄔㄨㄢ,to wear / to put on / to dress / to bore through / to pierce / to perforate / to penetrate / to pass through / to thread,
起床,ㄑㄧˇ ㄔㄨㄤˊ,to get out of bed / to get up,
方便,ㄈㄤ ㄅㄧㄢˋ,convenient / suitable / to facilitate / to make things easy / having money to spare / (euphemism) to relieve oneself,
睡覺,ㄕㄨㄟˋ ㄐㄧㄠˋ,to go to bed / to sleep,
先,ㄒㄧㄢ,early / prior / former / in advance / first,
常常,ㄔㄤˊ ㄔㄤˊ,frequently / often,
每,ㄇㄟˇ,each / every,
次,ㄘˋ,"next in sequence / second / the second (day, time etc) / secondary / vice- / sub- / infra- / inferior quality / substandard / order / sequence / hypo- (chemistry) / classifier for enumerated events: time",
音樂,ㄧㄣ ㄩㄝˋ,music,張 / 曲 / 段
票,ㄆㄧㄠˋ,"ticket / ballot / banknote / person held for ransom / amateur performance of Chinese opera / classifier for groups, batches, business transactions",張
照片,ㄓㄠˋ ㄆㄧㄢˋ,photograph / picture,張 / 套 / 幅
打,ㄉㄚˇ,to beat / to strike / to hit / to break / to type / to mix up / to build / to fight / to fetch / to make / to tie up / to issue / to shoot / to calculate / to play (a game) / since / from,
玩,ㄨㄢˊ,to play / to have fun / to trifle with / toy / sth used for amusement / curio or antique (Taiwan pr. [wan4]) / to keep sth for entertainment,
跑,ㄆㄠˇ,to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off,
運動,ㄩㄣˋ ㄉㄨㄥˋ,to move / to exercise / sports / exercise / motion / movement / campaign,場
運動,ㄩㄣˋ ㄉㄨㄥˋ,to move / to exercise / sports / exercise / motion / movement / campaign,場
開始,ㄎㄞ ㄕˇ,to begin / beginning / to start / initial,個
走路,ㄗㄡˇ ㄌㄨˋ,to walk / to go on foot,
唱歌,ㄔㄤˋ ㄍㄜ,to sing a song,
信,ㄒㄧㄣˋ,letter / mail / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random,封
喂,ㄨㄟˊ,"hey / to feed (an animal, baby, invalid etc)",
喂,ㄨㄟˋ,"hey / to feed (an animal, baby, invalid etc)",
介紹,ㄐㄧㄝˋ ㄕㄠˋ,to introduce (sb to sb) / to give a presentation / to present (sb for a job etc) / introduction,
換,ㄏㄨㄢˋ,to exchange / to change (clothes etc) / to substitute / to switch / to convert (currency),
認識,ㄖㄣˋ ㄕˋ,to know / to recognize / to be familiar with / to get acquainted with sb / knowledge / understanding / awareness / cognition,
沒關係,ㄇㄟˊ ㄍㄨㄢ ㄒㄧ˙,it doesn't matter,
怎麼,ㄗㄣˇ ㄇㄜ˙,how? / what? / why?,
哪,ㄋㄚˇ,"which? (interrogative, followed by classifier or numeral-classifier)",
哪裡,ㄋㄚˇ ㄌㄧˇ,where? / somewhere / anywhere / wherever / nowhere (negative answer to question) / humble expression denying compliment,
哪兒,ㄋㄚˇ ㄦ,where? / wherever / anywhere,
這裡,ㄓㄜˋ ㄌㄧˇ,here,
這兒,ㄓㄜˋ ㄦ,here,
那裡,ㄋㄚˋ ㄌㄧˇ,there / that place,
那兒,ㄋㄚˋ ㄦ,there,
上面,ㄕㄤˋ ㄇㄧㄢ˙,on top of / above-mentioned / also pr. [shang4 mian5],
上,ㄕㄤˋ,on top / upon / above / upper / previous / first (of multiple parts) / to climb / to get onto / to go up / to attend (class or university),
下面,ㄒㄧㄚˋ ㄇㄧㄢ˙,below / under / next / the following / also pr. [xia4 mian5],
下,ㄒㄧㄚˋ,"down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action",
外面,ㄨㄞˋ ㄇㄧㄢ˙,outside (also pr. [wai4 mian5] for this sense) / surface / exterior / external appearance,
外,ㄨㄞˋ,outside / in addition / foreign / external,
前面,ㄑㄧㄢˊ ㄇㄧㄢ˙,ahead / in front / preceding / above / also pr. [qian2 mian5],
前,ㄑㄧㄢˊ,front / forward / ahead / first / top (followed by a number) / future / ago / before / BC (e.g. 前293年) / former / formerly,
後面,ㄏㄡˋ ㄇㄧㄢ˙,rear / back / behind / later / afterwards / also pr. [hou4 mian5],
後,ㄏㄡˋ,back / behind / rear / afterwards / after / later / post-,
右邊,ㄧㄡˋ ㄅㄧㄢ,"right side / right, to the right",
左邊,ㄗㄨㄛˇ ㄅㄧㄢ,left / the left side / to the left of,
旁邊,ㄆㄤˊ ㄅㄧㄢ,lateral / side / to the side / beside,
中間,ㄓㄨㄥ ㄐㄧㄢ,between / intermediate / mid / middle,
地鐵,ㄉㄧˋ ㄊㄧㄝˇ,subway / metro,
地方,ㄉㄧˋ ㄈㄤ,area / place / space / room / territory,處 / 個 / 塊
附近,ㄈㄨˋ ㄐㄧㄣˋ,(in the) vicinity / nearby / neighboring / next to,
離,ㄌㄧˊ,"to leave / to part from / to be away from / (in giving distances) from / without (sth) / independent of / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire / ☲",
往,ㄨㄤˇ,to go (in a direction) / to / towards / (of a train) bound for / past / previous,
送,ㄙㄨㄥˋ,to deliver / to carry / to give (as a present) / to present (with) / to see off / to send,
帶,ㄉㄞˋ,band / belt / girdle / ribbon / tire / area / zone / region / to wear / to carry / to take along / to bear (i.e. to have) / to lead / to bring / to look after / to raise,條
放,ㄈㄤˋ,to put / to place / to release / to free / to let go / to let out / to set off (fireworks),
拿,ㄋㄚˊ,to hold / to seize / to catch / to apprehend / to take / (used in the same way as 把[ba3]: to mark the following noun as a direct object),
進來,ㄐㄧㄣˋ ㄌㄞˊ,to come in,
出去,ㄔㄨ ㄑㄩˋ,to go out,
站,ㄓㄢˋ,station / to stand / to halt / to stop / branch of a company or organization / website,
快,ㄎㄨㄞˋ,rapid / quick / speed / rate / soon / almost / to make haste / clever / sharp (of knives or wits) / forthright / plainspoken / gratified / pleased / pleasant,
慢,ㄇㄢˋ,slow,
近,ㄐㄧㄣˋ,near / close to / approximately,
遠,ㄩㄢˇ,to distance oneself from (classical),
手,ㄕㄡˇ,hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill,雙 / 隻
身體,ㄕㄣ ㄊㄧˇ,the body / one's health / in person,具 / 個
眼睛,ㄧㄢˇ ㄐㄧㄥ,eye,隻 / 雙
藥,ㄧㄠˋ,"medicine / drug / substance used for a specific purpose (e.g. poisoning, explosion, fermenting) / to poison",種 / 服 / 味
累,ㄌㄟˋ,tired / weary / to strain / to wear out / to work hard,
雙,ㄕㄨㄤ,two / double / pair / both / even (number),
元,ㄩㄢˊ,currency unit (esp. Chinese yuan) / first / original / primary / fundamental / constituent / part / era (of a reign) / meta- (prefix) / (math.) argument / variable / (Tw) (geology) eon,
鞋子,ㄒㄧㄝˊ ㄗ˙,shoe,
褲子,ㄎㄨˋ ㄗ˙,trousers / pants,條
市場,ㄕˋ ㄔㄤˇ,marketplace / market (also in abstract),
衣服,ㄧ ㄈㄨˊ,clothes,件 / 套
比,ㄅㄧˇ,to associate with / to be near,
要,ㄧㄠˋ,important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if,
要,ㄧㄠˋ,important / vital / to want / to ask for / will / going to (as future auxiliary) / may / must / (used in a comparison) must be / probably / if,
長,ㄔㄤˊ,chief / head / elder / to grow / to develop / to increase / to enhance,
新,ㄒㄧㄣ,new / newly / meso- (chemistry),
一樣,ㄧ ㄧㄤˋ,same / like / equal to / the same as / just like,
好吃,ㄏㄠˇ ㄔ,to be fond of eating / to be gluttonous,
件,ㄐㄧㄢˋ,"item / component / classifier for events, things, clothes etc",
杯,ㄅㄟ,"cup / trophy cup / classifier for certain containers of liquids: glass, cup",
瓶,ㄆㄧㄥˊ,bottle / vase / pitcher / classifier for wine and liquids,個
菜,ㄘㄞˋ,dish (type of food) / vegetable / cuisine / (coll.) (one's) type / (of one's skills etc) weak / poor,盤 / 道
蘋果,ㄆㄧㄥˊ ㄍㄨㄛˇ,apple,個 / 顆
肉,ㄖㄡˋ,meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute / Kangxi radical 130,
酒,ㄐㄧㄡˇ,wine (esp. rice wine) / liquor / spirits / alcoholic beverage,杯 / 瓶 / 罐 / 桶 / 缸
喝,ㄏㄜ,to shout,
少,ㄕㄠˇ,young,
多,ㄉㄨㄛ,"many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means ""how""",
多,ㄉㄨㄛ,"many / much / often / a lot of / numerous / more / in excess / how (to what extent) / multi- / Taiwan pr. [duo2] when it means ""how""",
一起,ㄧ ㄑㄧˇ,in the same place / together / with / altogether (in total),
因為,ㄧㄣ ㄨㄟˋ,because / owing to / on account of,
和,ㄏㄜˊ,to mix (ingredients) together / to blend / classifier for rinses of clothes / classifier for boilings of medicinal herbs,
所以,ㄙㄨㄛˇ ㄧˇ,therefore / as a result / so / the reason why,
跟,ㄍㄣ,heel / to follow closely / to go with / (of a woman) to marry sb / with / compared with / to / towards / and (joining two nouns),
著,ㄓㄜ˙,to make known / to show / to prove / to write / book / outstanding,
可能,ㄎㄜˇ ㄋㄥˊ,might (happen) / possible / probable / possibility / probability / maybe / perhaps,個
